"Gene","Stage","N","Median_TPM","Mean_TPM","Aberrant_n","Aberrant_percent"
"JAK3","Stage 0",4,18.92015,26.6684,4,100
"JAK3","Stage I",174,5.4339,8.50094022988506,42,24.1379310344828
"JAK3","Stage II",574,5.37885,7.89632970383275,117,20.383275261324
"JAK3","Stage III",217,5.7351,7.82205391705069,38,17.5115207373272
"JAK3","Stage IV",18,4.8587,9.00241666666667,2,11.1111111111111
"EPHB2","Stage 0",4,3.9745,4.7403,2,50
"EPHB2","Stage I",174,2.8902,3.59615574712644,56,32.183908045977
"EPHB2","Stage II",574,3.13625,4.21295261324042,224,39.0243902439024
"EPHB2","Stage III",217,3.4216,4.02289493087558,98,45.1612903225806
"EPHB2","Stage IV",18,3.71865,4.85141666666667,9,50
