"ENSEMBL","log2FC_Day6_LPS_vs_RPMI","AveExpr","t","P.Value","FDR_genome","B","SYMBOL","GENENAME","Direction","Nominal_P_lt_0.05","Genome_FDR_lt_0.05","Abs_log2FC_ge_1","D6_pairs_up","D6_pairs_down","D6_direction_consistent_pairs","Is_KinHub_Kinase","FDR_kinase","Kinase_FDR_lt_0.05","Kinase_FDR_lt_0.10"
"ENSG00000090376",1.81658258204673,4.39424153184821,11.1175544519344,1.34260465212246e-05,0.0333313055636124,3.23258875526607,"IRAK3","interleukin 1 receptor associated kinase 3","UP",TRUE,TRUE,TRUE,5,0,5,TRUE,0.00667274512104861,TRUE,TRUE
"ENSG00000011566",-1.36750596638692,5.305705962086,-9.17578725827011,4.58709950130006e-05,0.0460229426839811,2.37308759191854,"MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3","DOWN",TRUE,TRUE,TRUE,0,5,5,TRUE,0.0113989422607306,TRUE,TRUE
"ENSG00000145349",-1.59148610271898,3.91292874668981,-8.33445777122154,8.39675106610488e-05,0.052475257296739,1.90891544312182,"CAMK2D","calcium/calmodulin dependent protein kinase II delta","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0139106175995138,TRUE,TRUE
"ENSG00000105976",3.65400816166338,0.685393985323892,7.81563126187747,0.000125153895987897,0.052475257296739,1.58884487555966,"MET","MET proto-oncogene, receptor tyrosine kinase","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0155503715764962,TRUE,TRUE
"ENSG00000183943",-1.07169577520305,4.27190820585603,-6.39414050307469,0.000421996093382447,0.0635238990478477,0.554637987920334,"PRKX","protein kinase cAMP-dependent X-linked catalytic subunit","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000117020",1.14537737044339,3.7549054536981,6.31059157223082,0.000456111041315084,0.063791998696582,0.485759095497338,"AKT3","AKT serine/threonine kinase 3","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000101336",1.15856360311711,5.89853676559305,6.30928012641863,0.000456670750721066,0.063791998696582,0.484670117452324,"HCK","HCK proto-oncogene, Src family tyrosine kinase","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000188906",1.55494521975739,2.26120046717041,6.20234392667819,0.00050502410128673,0.06530987383748,0.395053673878261,"LRRK2","leucine rich repeat kinase 2","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000184216",-1.13016820521028,6.52381522326473,-6.03335694725239,0.000593647378934127,0.0687255467164514,0.250081034649794,"IRAK1","interleukin 1 receptor associated kinase 1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000000938",-1.41368663464578,7.93486330573676,-6.01102782587222,0.00060661542065039,0.0690934922299426,0.230612652759635,"FGR","FGR proto-oncogene, Src family tyrosine kinase","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000107968",1.39387870584643,5.30880919911895,5.94966957248482,0.000643921024143522,0.0708004397299724,0.176734865143549,"MAP3K8","mitogen-activated protein kinase kinase kinase 8","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000142875",-1.7838013912156,4.26984370925252,-5.88868505734843,0.00068357316013675,0.0721948834831137,0.122628098595118,"PRKACB","protein kinase cAMP-activated catalytic subunit beta","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000117676",-1.05979931189588,7.65397058127568,-5.87527290545732,0.000692657286731631,0.0726746890451168,0.110653514205751,"RPS6KA1","ribosomal protein S6 kinase A1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE
"ENSG00000115216",-0.973834885189471,6.23445243621859,-5.48321645372225,0.0010288079716943,0.0827050503409167,-0.251617126759433,"NRBP1","nuclear receptor binding protein 1","DOWN",TRUE,FALSE,FALSE,0,5,5,TRUE,0.033933882408987,TRUE,TRUE
"ENSG00000007264",-2.30951657872545,5.22652508746185,-5.45591738797134,0.00105830190274791,0.0834836385494455,-0.277741831920693,"MATK","megakaryocyte-associated tyrosine kinase","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.033933882408987,TRUE,TRUE
"ENSG00000254087",1.50512492044938,5.98509702535134,5.37034096679104,0.00115707172500482,0.0868670338421668,-0.360413575671147,"LYN","LYN proto-oncogene, Src family tyrosine kinase","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.033933882408987,TRUE,TRUE
"ENSG00000106683",-1.35080244320351,5.24628856682698,-5.36734129093134,0.00116071629970378,0.0868670338421668,-0.363332905575966,"LIMK1","LIM domain kinase 1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.033933882408987,TRUE,TRUE
"ENSG00000106605",-1.24513080223856,5.79742836904243,-5.05734182081322,0.0016168444567563,0.0965817040206494,-0.6729976880447,"BLVRA","biliverdin reductase A","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.042862384317761,TRUE,TRUE
"ENSG00000107779",-1.96596694499885,0.987467564893032,-5.04508838322487,0.00163860221737919,0.0967975007545144,-0.685566201343334,"BMPR1A","bone morphogenetic protein receptor type 1A","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.042862384317761,TRUE,TRUE
"ENSG00000164885",-1.42398112937955,3.67676649343248,-4.90151449411322,0.00191939777459258,0.100504530230936,-0.834721959710878,"CDK5","cyclin dependent kinase 5","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0463389612840972,TRUE,TRUE
"ENSG00000081320",1.14559666008961,4.06792699671978,4.88362939745632,0.00195798427960974,0.100504530230936,-0.853547650007168,"STK17B","serine/threonine kinase 17b","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0463389612840972,TRUE,TRUE
"ENSG00000066056",-1.66014626802696,3.94102119306501,-4.83568655491672,0.00206574736903021,0.101741875603001,-0.904281489680616,"TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0466671110185461,TRUE,TRUE
