"ENSEMBL","Day6_memory_log2FC","AveExpr","t","Day6_memory_P","Day6_memory_FDR_genome","B","SYMBOL","GENENAME","Day6_memory_direction","Nominal_P_lt_0.05","Genome_FDR_lt_0.05","Abs_log2FC_ge_1","D6_pairs_up","D6_pairs_down","D6_direction_consistent_pairs","Is_KinHub_Kinase","Day6_memory_FDR_kinase","Kinase_FDR_lt_0.05","Kinase_FDR_lt_0.10","Day1_log2FC","Day1_P","Day1_FDR_kinase","Day1_FDR_genome","Day1_direction","Day1_nominal_P05","Day1_kinase_FDR05","Day1_Day6_relationship","Naive_response_log2","Tolerant_response_log2","Tolerance_interaction_log2","Interaction_P","Interaction_FDR_genome","Interaction_FDR_memory24_exploratory","Response_pattern","BG_rescue_response_log2","BG_response_restoration_fraction","BG_response_moves_toward_naive","BG_response_closer_to_naive","RPMI_baseline_mean_log2","LPS_baseline_mean_log2","BG_rescue_baseline_mean_log2","BG_baseline_rescue_fraction","BG_baseline_closer_to_RPMI","BG_baseline_opposes_memory","Interaction_nominal_P05","Interaction_genome_FDR05","Interaction_memory24_FDR05_exploratory","Blunted_same_direction","Direction_changed_after_restim","Maintained_or_enhanced_response","BG_baseline_reversal_supported","BG_response_restoration_supported","Directional_support_score","RNA_chromatin_priority","Integrated_RNA_interpretation"
"ENSG00000164885",-1.42398112937955,3.67676649343248,-4.90151449411322,0.00191939777459258,0.100504530230936,-0.834721959710878,"CDK5","cyclin dependent kinase 5","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0463389612840972,TRUE,TRUE,-0.805806346999482,0.20675654673769,0.606637571171196,0.661810733622477,"DOWN",FALSE,FALSE,"same_direction_no_nominal_support",-0.398482578052238,-1.35746469649235,-0.958982118440111,0.0556944187772734,0.984506858881451,0.310590417459675,"maintained_or_enhanced",-0.652199088525188,0.735431447996499,TRUE,TRUE,4.47941474416868,3.30421975072666,4.45831416983993,0.982045044059501,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,"INTERMEDIATE","Day1=same_direction_no_nominal_support; Day6=memory_FDR05; Restim=maintained_or_enhanced; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000184216",-1.13016820521028,6.52381522326473,-6.03335694725239,0.000593647378934127,0.0687255467164514,0.250081034649794,"IRAK1","interleukin 1 receptor associated kinase 1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE,1.40819674359995,0.0525378391258918,0.432174225645861,0.500067269466607,"UP",FALSE,FALSE,"opposite_direction_no_nominal_support",-0.212158513521428,0.532624503526691,0.744783017048118,0.0743776806414172,0.995288743699047,0.310590417459675,"direction_changed",0.0642937631067033,0.628815010143726,TRUE,TRUE,6.88594067899127,5.88304194529915,6.59384907716541,0.708752646689921,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,"INTERMEDIATE","Day1=opposite_direction_no_nominal_support; Day6=memory_FDR05; Restim=direction_changed; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000117676",-1.05979931189588,7.65397058127568,-5.87527290545732,0.000692657286731631,0.0726746890451168,0.110653514205751,"RPS6KA1","ribosomal protein S6 kinase A1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE,0.19617421279872,0.763557740191649,0.952925010087287,0.967631462143432,"UP",FALSE,FALSE,"memory_emergent_small_Day1_effect",-0.802624739856463,-0.24694057080113,0.555684169055333,0.10844848654582,0.995288743699047,0.310590417459675,"blunted_same_direction",-0.114614848913936,-0.238131171006991,FALSE,FALSE,8.24433423965762,7.07857447178301,8.19282405835867,0.955814068456948,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,"INTERMEDIATE","Day1=memory_emergent_small_Day1_effect; Day6=memory_FDR05; Restim=blunted_same_direction; BG_baseline_reversal=TRUE; BG_response_restoration=FALSE"
"ENSG00000183943",-1.07169577520305,4.27190820585603,-6.39414050307469,0.000421996093382447,0.0635238990478477,0.554637987920334,"PRKX","protein kinase cAMP-dependent X-linked catalytic subunit","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE,-2.17938908195466,0.0293753787907746,0.377461577377434,0.390954272409467,"DOWN",TRUE,FALSE,"acute_supported_same_direction",0.329837968423208,-0.351761983488652,-0.681599951911859,0.111928303463069,0.995288743699047,0.310590417459675,"direction_changed",0.318915010873195,0.983974532980271,TRUE,TRUE,4.80102513166711,3.51210729713529,4.391243277389,0.682072942665925,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,"INTERMEDIATE","Day1=acute_supported_same_direction; Day6=memory_FDR05; Restim=direction_changed; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000081320",1.14559666008961,4.06792699671978,4.88362939745632,0.00195798427960974,0.100504530230936,-0.853547650007168,"STK17B","serine/threonine kinase 17b","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0463389612840972,TRUE,TRUE,1.84018291969333,0.0306179402696997,0.377461577377434,0.397776384272045,"UP",TRUE,FALSE,"acute_supported_same_direction",0.40906597108536,-0.350477984902261,-0.75954395598762,0.122961721014489,0.995288743699047,0.310590417459675,"direction_changed",0.627882580829976,1.28808946213007,TRUE,TRUE,3.8342944207013,5.20674979098163,4.42290322006131,0.571127184092124,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,"INTERMEDIATE","Day1=acute_supported_same_direction; Day6=memory_FDR05; Restim=direction_changed; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000011566",-1.36750596638692,5.305705962086,-9.17578725827011,4.58709950130006e-05,0.0460229426839811,2.37308759191854,"MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3","DOWN",TRUE,TRUE,TRUE,0,5,5,TRUE,0.0113989422607306,TRUE,TRUE,-1.07854784447954,0.0563247251899881,0.432174225645861,0.513807684805843,"DOWN",FALSE,FALSE,"same_direction_no_nominal_support",-1.06865770539639,0.224820707569561,1.29347841296595,0.125213029649778,0.995288743699047,0.310590417459675,"direction_changed",-0.272662090643324,0.384608504653863,TRUE,TRUE,6.31285892789895,4.89982603899944,6.18586213307721,0.910124671676511,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,"INTERMEDIATE","Day1=same_direction_no_nominal_support; Day6=memory_FDR05; Restim=direction_changed; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000105976",3.65400816166338,0.685393985323892,7.81563126187747,0.000125153895987897,0.052475257296739,1.58884487555966,"MET","MET proto-oncogene, receptor tyrosine kinase","UP",TRUE,FALSE,TRUE,5,0,5,TRUE,0.0155503715764962,TRUE,TRUE,5.01208105570524,0.00296170350404752,0.237429897574476,0.330801012614897,"UP",TRUE,FALSE,"acute_supported_same_direction",2.47411560769647,1.58932648622581,-0.884789121470661,0.14369587509016,0.995288743699047,0.310590417459675,"blunted_same_direction",3.44394178837542,2.09610997371548,TRUE,FALSE,-0.887777252478653,3.39482099929448,1.23212561607057,0.504996092577324,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,"INTERMEDIATE","Day1=acute_supported_same_direction; Day6=memory_FDR05; Restim=blunted_same_direction; BG_baseline_reversal=TRUE; BG_response_restoration=FALSE"
"ENSG00000000938",-1.41368663464578,7.93486330573676,-6.01102782587222,0.00060661542065039,0.0690934922299426,0.230612652759635,"FGR","FGR proto-oncogene, Src family tyrosine kinase","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0264808208850477,TRUE,TRUE,0.673158047217429,0.497258994465295,0.799938382400692,0.836422578015645,"UP",FALSE,FALSE,"opposite_direction_no_nominal_support",-0.360890754270142,0.292675464326039,0.653566218596181,0.151442025433187,0.995288743699047,0.310590417459675,"direction_changed",-0.191611483246182,0.740991400400771,TRUE,TRUE,8.46347480738519,7.02886400965745,8.80159087128738,1.23568487316402,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,"INTERMEDIATE","Day1=opposite_direction_no_nominal_support; Day6=memory_FDR05; Restim=direction_changed; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000145349",-1.59148610271898,3.91292874668981,-8.33445777122154,8.39675106610488e-05,0.052475257296739,1.90891544312182,"CAMK2D","calcium/calmodulin dependent protein kinase II delta","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0139106175995138,TRUE,TRUE,-1.90758750029374,0.0501866368827818,0.432174225645861,0.490759359258612,"DOWN",FALSE,FALSE,"same_direction_no_nominal_support",-0.226450812393168,-0.697099895426244,-0.470649083033076,0.257161348032289,0.995288743699047,0.411458156851662,"maintained_or_enhanced",-0.174313569705923,1.1107773170432,TRUE,TRUE,4.85940138200495,3.26837358794403,4.47188271669949,0.756435012165084,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,"INTERMEDIATE","Day1=same_direction_no_nominal_support; Day6=memory_FDR05; Restim=maintained_or_enhanced; BG_baseline_reversal=TRUE; BG_response_restoration=TRUE"
"ENSG00000066056",-1.66014626802696,3.94102119306501,-4.83568655491672,0.00206574736903021,0.101741875603001,-0.904281489680616,"TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1","DOWN",TRUE,FALSE,TRUE,0,5,5,TRUE,0.0466671110185461,TRUE,TRUE,-2.5011702364561,0.0389690488241942,0.406355004925105,0.443886814643824,"DOWN",TRUE,FALSE,"acute_supported_same_direction",0.193498478075731,0.0027081880577664,-0.190790290017964,0.771699588925804,0.999988062517115,0.881942387343777,"blunted_same_direction",0.633999607803345,3.3088236287399,TRUE,FALSE,4.88948157360749,3.14134428959376,3.45167370505966,0.177520048513225,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,"INTERMEDIATE","Day1=acute_supported_same_direction; Day6=memory_FDR05; Restim=blunted_same_direction; BG_baseline_reversal=TRUE; BG_response_restoration=FALSE"
