"GSM","Mark","Condition","Filename","URL"
"GSM2263027","H3K27ac","RPMI_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263027/suppl//GSM2263027_5635.H3K27ac.Normalized.bw"
"GSM2262963","H3K27ac","RPMI_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262963/suppl//GSM2262963_7821.H3K27ac.NotNormalized.bw"
"GSM2262956","H3K27ac","LPS_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262956/suppl//GSM2262956_5638.H3K27ac.Normalized.bw"
"GSM2263053","H3K27ac","LPS_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263053/suppl//GSM2263053_7824.H3K27ac.Normalized.bw"
"GSM2262932","H3K27ac","BG_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262932/suppl//GSM2262932_5641.H3K27ac.Normalized.bw"
"GSM2263034","H3K27ac","BG_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263034/suppl//GSM2263034_7827.H3K27ac.Normalized.bw"
"GSM2263033","H3K4me1","RPMI_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263033/suppl//GSM2263033_5636.H3K4me1.Normalized.bw"
"GSM2263007","H3K4me1","RPMI_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263007/suppl//GSM2263007_7820.H3K4me1.NotNormalized.bw"
"GSM2262996","H3K4me1","LPS_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262996/suppl//GSM2262996_5639.H3K4me1.Normalized.bw"
"GSM2262953","H3K4me1","LPS_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262953/suppl//GSM2262953_7823.H3K4me1.Normalized.bw"
"GSM2263030","H3K4me1","BG_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263030/suppl//GSM2263030_5642.H3K4me1.Normalized.bw"
"GSM2262961","H3K4me1","BG_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262961/suppl//GSM2262961_7826.H3K4me1.Normalized.bw"
"GSM2262940","H3K4me3","RPMI_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262940/suppl//GSM2262940_5634.H3K4me3.Normalized.bw"
"GSM2263015","H3K4me3","RPMI_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263015/suppl//GSM2263015_7819.H3K4me3.NotNormalized.bw"
"GSM2263031","H3K4me3","LPS_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263031/suppl//GSM2263031_5637.H3K4me3.Normalized.bw"
"GSM2263046","H3K4me3","LPS_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263046/suppl//GSM2263046_7822.H3K4me3.Normalized.bw"
"GSM2262980","H3K4me3","BG_rep1","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2262nnn/GSM2262980/suppl//GSM2262980_5640.H3K4me3.Normalized.bw"
"GSM2263054","H3K4me3","BG_rep2","1","https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2263nnn/GSM2263054/suppl//GSM2263054_7825.H3K4me3.Normalized.bw"
