"file","mark","sample","condition","replicate","normalization_label","sample_id"
"data/chip/day6_formal/H3K27ac/BG_rep1_H3K27ac.Normalized.bw","H3K27ac","BG_rep1_H3K27ac.Normalized.bw","BG","rep1","Normalized","H3K27ac_BG_rep1"
"data/chip/day6_formal/H3K27ac/BG_rep2_H3K27ac.Normalized.bw","H3K27ac","BG_rep2_H3K27ac.Normalized.bw","BG","rep2","Normalized","H3K27ac_BG_rep2"
"data/chip/day6_formal/H3K27ac/LPS_rep1_H3K27ac.Normalized.bw","H3K27ac","LPS_rep1_H3K27ac.Normalized.bw","LPS","rep1","Normalized","H3K27ac_LPS_rep1"
"data/chip/day6_formal/H3K27ac/LPS_rep2_H3K27ac.Normalized.bw","H3K27ac","LPS_rep2_H3K27ac.Normalized.bw","LPS","rep2","Normalized","H3K27ac_LPS_rep2"
"data/chip/day6_formal/H3K27ac/RPMI_rep1_H3K27ac.Normalized.bw","H3K27ac","RPMI_rep1_H3K27ac.Normalized.bw","RPMI","rep1","Normalized","H3K27ac_RPMI_rep1"
"data/chip/day6_formal/H3K27ac/RPMI_rep2_H3K27ac.NotNormalized.bw","H3K27ac","RPMI_rep2_H3K27ac.NotNormalized.bw","RPMI","rep2","NotNormalized","H3K27ac_RPMI_rep2"
"data/chip/day6_formal/H3K4me1/BG_rep1_H3K4me1.Normalized.bw","H3K4me1","BG_rep1_H3K4me1.Normalized.bw","BG","rep1","Normalized","H3K4me1_BG_rep1"
"data/chip/day6_formal/H3K4me1/BG_rep2_H3K4me1.Normalized.bw","H3K4me1","BG_rep2_H3K4me1.Normalized.bw","BG","rep2","Normalized","H3K4me1_BG_rep2"
"data/chip/day6_formal/H3K4me1/LPS_rep1_H3K4me1.Normalized.bw","H3K4me1","LPS_rep1_H3K4me1.Normalized.bw","LPS","rep1","Normalized","H3K4me1_LPS_rep1"
"data/chip/day6_formal/H3K4me1/LPS_rep2_H3K4me1.Normalized.bw","H3K4me1","LPS_rep2_H3K4me1.Normalized.bw","LPS","rep2","Normalized","H3K4me1_LPS_rep2"
"data/chip/day6_formal/H3K4me1/RPMI_rep1_H3K4me1.Normalized.bw","H3K4me1","RPMI_rep1_H3K4me1.Normalized.bw","RPMI","rep1","Normalized","H3K4me1_RPMI_rep1"
"data/chip/day6_formal/H3K4me1/RPMI_rep2_H3K4me1.NotNormalized.bw","H3K4me1","RPMI_rep2_H3K4me1.NotNormalized.bw","RPMI","rep2","NotNormalized","H3K4me1_RPMI_rep2"
"data/chip/day6_formal/H3K4me3/BG_rep1_H3K4me3.Normalized.bw","H3K4me3","BG_rep1_H3K4me3.Normalized.bw","BG","rep1","Normalized","H3K4me3_BG_rep1"
"data/chip/day6_formal/H3K4me3/BG_rep2_H3K4me3.Normalized.bw","H3K4me3","BG_rep2_H3K4me3.Normalized.bw","BG","rep2","Normalized","H3K4me3_BG_rep2"
"data/chip/day6_formal/H3K4me3/LPS_rep1_H3K4me3.Normalized.bw","H3K4me3","LPS_rep1_H3K4me3.Normalized.bw","LPS","rep1","Normalized","H3K4me3_LPS_rep1"
"data/chip/day6_formal/H3K4me3/LPS_rep2_H3K4me3.Normalized.bw","H3K4me3","LPS_rep2_H3K4me3.Normalized.bw","LPS","rep2","Normalized","H3K4me3_LPS_rep2"
"data/chip/day6_formal/H3K4me3/RPMI_rep1_H3K4me3.Normalized.bw","H3K4me3","RPMI_rep1_H3K4me3.Normalized.bw","RPMI","rep1","Normalized","H3K4me3_RPMI_rep1"
"data/chip/day6_formal/H3K4me3/RPMI_rep2_H3K4me3.NotNormalized.bw","H3K4me3","RPMI_rep2_H3K4me3.NotNormalized.bw","RPMI","rep2","NotNormalized","H3K4me3_RPMI_rep2"
