"SYMBOL","Mark","Contrast","Log_signal_difference","P_value","FDR","Direction","Local_significant_FDR05"
"JAK3","H3K27ac","LPS_vs_RPMI",1.52768799425447,0.00564295313049033,0.701136926463424,"UP",FALSE
"JAK3","H3K4me3","LPS_vs_RPMI",1.40860199733556,0.000393847131849736,0.0652473415097729,"UP",FALSE
"EPHB2","H3K27ac","LPS_vs_RPMI",-0.472378648592226,0.364231303854423,0.998918875707077,"DOWN",FALSE
"EPHB2","H3K4me3","LPS_vs_RPMI",0.031219340614272,0.937258168430129,0.995072878029387,"UP",FALSE
"MET","H3K27ac","LPS_vs_RPMI",1.35881793600287,0.00395186120627511,0.65469167317291,"UP",FALSE
"MET","H3K4me3","LPS_vs_RPMI",0.966924938738917,0.0148678667569032,0.985413824531141,"UP",FALSE
"MAP3K8","H3K27ac","LPS_vs_RPMI",0.0765531410679019,0.875846925701544,0.998918875707077,"UP",FALSE
"MAP3K8","H3K4me3","LPS_vs_RPMI",0.177687783802567,0.654147903718767,0.995072878029387,"UP",FALSE
"BMPR1A","H3K27ac","LPS_vs_RPMI",-0.0249543766553608,0.944876572483316,0.998918875707077,"DOWN",FALSE
"BMPR1A","H3K4me3","LPS_vs_RPMI",-0.138572729598078,0.726796188373413,0.995072878029387,"DOWN",FALSE
