"Project","Total_STAR_files","Total_unique_cases","Primary_Tumor_cases","Solid_Tissue_Normal_cases","Primary_Blood_Cancer_cases","Recurrent_Tumor_cases","Metastatic_cases","Has_Primary_Tumor","Has_Solid_Normal","Tumor_Normal_available"
"TCGA-ACC",79,79,79,0,0,0,0,TRUE,FALSE,FALSE
"TCGA-BLCA",431,431,412,19,0,0,0,TRUE,TRUE,TRUE
"TCGA-BRCA",1231,1231,1111,113,0,0,7,TRUE,TRUE,TRUE
"TCGA-CESC",309,309,304,3,0,0,2,TRUE,TRUE,TRUE
"TCGA-CHOL",44,44,35,9,0,0,0,TRUE,TRUE,TRUE
"TCGA-COAD",524,524,481,41,0,1,1,TRUE,TRUE,TRUE
"TCGA-DLBC",48,48,48,0,0,0,0,TRUE,FALSE,FALSE
"TCGA-ESCA",198,198,184,13,0,0,1,TRUE,TRUE,TRUE
"TCGA-GBM",391,391,372,5,0,14,0,TRUE,TRUE,TRUE
"TCGA-HNSC",566,566,520,44,0,0,2,TRUE,TRUE,TRUE
"TCGA-KICH",91,91,66,25,0,0,0,TRUE,TRUE,TRUE
"TCGA-KIRC",614,614,541,72,0,0,0,TRUE,TRUE,TRUE
"TCGA-KIRP",323,323,290,32,0,0,0,TRUE,TRUE,TRUE
"TCGA-LAML",151,151,0,0,151,0,0,FALSE,FALSE,FALSE
"TCGA-LGG",534,534,516,0,0,18,0,TRUE,FALSE,FALSE
"TCGA-LIHC",424,424,371,50,0,3,0,TRUE,TRUE,TRUE
"TCGA-LUAD",601,601,540,59,0,2,0,TRUE,TRUE,TRUE
"TCGA-LUSC",562,562,511,51,0,0,0,TRUE,TRUE,TRUE
"TCGA-MESO",87,87,87,0,0,0,0,TRUE,FALSE,FALSE
"TCGA-OV",434,434,426,0,0,8,0,TRUE,FALSE,FALSE
"TCGA-PAAD",183,183,178,4,0,0,1,TRUE,TRUE,TRUE
"TCGA-PCPG",187,187,179,3,0,0,2,TRUE,TRUE,TRUE
"TCGA-PRAD",554,554,501,52,0,0,1,TRUE,TRUE,TRUE
"TCGA-READ",177,177,166,10,0,1,0,TRUE,TRUE,TRUE
"TCGA-SARC",265,265,259,2,0,3,1,TRUE,TRUE,TRUE
"TCGA-SKCM",473,473,103,1,0,0,369,TRUE,TRUE,TRUE
"TCGA-STAD",448,448,412,36,0,0,0,TRUE,TRUE,TRUE
"TCGA-TGCT",156,156,150,0,0,0,0,TRUE,FALSE,FALSE
"TCGA-THCA",572,572,505,59,0,0,8,TRUE,TRUE,TRUE
"TCGA-THYM",122,122,120,2,0,0,0,TRUE,TRUE,TRUE
"TCGA-UCEC",589,589,553,35,0,1,0,TRUE,TRUE,TRUE
"TCGA-UCS",57,57,57,0,0,0,0,TRUE,FALSE,FALSE
"TCGA-UVM",80,80,80,0,0,0,0,TRUE,FALSE,FALSE
