"patient_id","Tumor_TPM","Normal_TPM","log2FC_Tumor_vs_Normal","Tumor_higher","Tumor_at_least_2fold"
"TCGA-A3-3358",15.0349,1.2857,3.54768829168759,TRUE,TRUE
"TCGA-A3-3387",22.6273,1.08,4.38895995588265,TRUE,TRUE
"TCGA-B0-4700",33.7195,1.7803,4.24339009959937,TRUE,TRUE
"TCGA-B0-4712",18.9239,3.1301,2.59592840361474,TRUE,TRUE
"TCGA-B0-5402",5.8376,6.28,-0.10538918283447,FALSE,FALSE
"TCGA-B0-5690",9.3306,0.8919,3.38701452389892,TRUE,TRUE
"TCGA-B0-5691",13.5959,6.1649,1.14102212970388,TRUE,TRUE
"TCGA-B0-5694",10.6302,4.6571,1.19066480038238,TRUE,TRUE
"TCGA-B0-5696",5.2731,1.8208,1.53407837499781,TRUE,TRUE
"TCGA-B0-5697",16.2404,0.9158,4.14840930470538,TRUE,TRUE
"TCGA-B0-5699",12.378,0.8664,3.83659962528031,TRUE,TRUE
"TCGA-B0-5701",12.4675,3.5063,1.83015056338289,TRUE,TRUE
"TCGA-B0-5703",9.3813,1.8626,2.33246935155294,TRUE,TRUE
"TCGA-B0-5705",5.3553,1.6704,1.68077318465642,TRUE,TRUE
"TCGA-B0-5706",13.2457,1.2186,3.4422264627588,TRUE,TRUE
"TCGA-B0-5709",20.6616,2.3995,3.10614572884772,TRUE,TRUE
"TCGA-B0-5711",17.9987,1.6668,3.4327390124926,TRUE,TRUE
"TCGA-B0-5712",13.009,5.5535,1.22804072016855,TRUE,TRUE
"TCGA-B2-5636",16.1487,4.8913,1.72312796650444,TRUE,TRUE
"TCGA-B2-5641",33.5536,2.6125,3.68296411141649,TRUE,TRUE
"TCGA-B8-4619",1.2536,1.5208,-0.278753149976699,FALSE,FALSE
"TCGA-B8-4620",25.735,5.2847,2.28383808497148,TRUE,TRUE
"TCGA-B8-4622",12.1846,2.0013,2.60604893585048,TRUE,TRUE
"TCGA-B8-5549",12.6739,1.8588,2.76941642010705,TRUE,TRUE
"TCGA-B8-5552",16.1507,10.5973,0.60789990937332,TRUE,FALSE
"TCGA-CJ-5672",14.7186,2.1861,2.75120858846307,TRUE,TRUE
"TCGA-CJ-5676",16.6638,5.6152,1.56930794492423,TRUE,TRUE
"TCGA-CJ-5677",13.571,3.3542,2.01648608829025,TRUE,TRUE
"TCGA-CJ-5678",9.7154,1.3716,2.82441268258623,TRUE,TRUE
"TCGA-CJ-5679",15.6755,4.9182,1.67230895112782,TRUE,TRUE
"TCGA-CJ-5680",6.5011,8.2802,-0.348981721452596,FALSE,FALSE
"TCGA-CJ-5681",1.5554,1.4793,0.0723709375088024,TRUE,FALSE
"TCGA-CJ-5689",12.3914,5.3642,1.20790410902278,TRUE,TRUE
"TCGA-CJ-6030",31.7576,2.1045,3.91555183369339,TRUE,TRUE
"TCGA-CJ-6033",23.9396,3.4994,2.77421920807532,TRUE,TRUE
"TCGA-CW-5580",16.1096,1.9594,3.03943617525262,TRUE,TRUE
"TCGA-CW-5581",7.2483,0.7878,3.20173971402667,TRUE,TRUE
"TCGA-CW-5584",13.0135,9.8197,0.406258138350878,TRUE,FALSE
"TCGA-CW-5585",1.458,1.0935,0.415037169444851,TRUE,FALSE
"TCGA-CW-5587",14.7355,1.3075,3.49441215725442,TRUE,TRUE
"TCGA-CW-5589",9.7444,2.5372,1.94133568811648,TRUE,TRUE
"TCGA-CW-5591",6.2044,16.776,-1.43503501444045,FALSE,FALSE
"TCGA-CW-6087",66.7297,0.9156,6.18746619068965,TRUE,TRUE
"TCGA-CW-6088",7.5658,1.3522,2.48418321111452,TRUE,TRUE
"TCGA-CW-6090",10.0671,0.8703,3.53199002938722,TRUE,TRUE
"TCGA-CZ-4863",22.0022,2.7535,2.99830881406065,TRUE,TRUE
"TCGA-CZ-4864",13.5835,1.2499,3.4419696324752,TRUE,TRUE
"TCGA-CZ-4865",6.4535,2.4041,1.42458452236436,TRUE,TRUE
"TCGA-CZ-5451",4.0786,0.8602,2.24532866499409,TRUE,TRUE
"TCGA-CZ-5452",14.9681,1.3319,3.49033244237022,TRUE,TRUE
"TCGA-CZ-5453",7.4348,2.4805,1.58366258875133,TRUE,TRUE
"TCGA-CZ-5454",8.5141,2.4259,1.8113335285597,TRUE,TRUE
"TCGA-CZ-5455",17.6622,1.4283,3.6282931877406,TRUE,TRUE
"TCGA-CZ-5456",24.0474,1.5602,3.94607717059336,TRUE,TRUE
"TCGA-CZ-5457",5.186,2.8837,0.846700899615462,TRUE,FALSE
"TCGA-CZ-5458",7.8933,1.7496,2.17360281534861,TRUE,TRUE
"TCGA-CZ-5461",16.1301,2.5926,2.63728337373913,TRUE,TRUE
"TCGA-CZ-5462",18.0037,1.6586,3.44025473780755,TRUE,TRUE
"TCGA-CZ-5463",15.3194,1.7389,3.1391121840699,TRUE,TRUE
"TCGA-CZ-5465",5.153,1.4305,1.84889236627702,TRUE,TRUE
"TCGA-CZ-5466",13.2652,1.8802,2.81868773170725,TRUE,TRUE
"TCGA-CZ-5467",8.574,2.0582,2.0585847054497,TRUE,TRUE
"TCGA-CZ-5468",16.3297,3.0678,2.41222156787332,TRUE,TRUE
"TCGA-CZ-5469",14.5232,2.2967,2.66072451266158,TRUE,TRUE
"TCGA-CZ-5470",8.5829,2.2998,1.8999563263381,TRUE,TRUE
"TCGA-CZ-5982",9.3953,0.394,4.5756681859756,TRUE,TRUE
"TCGA-CZ-5984",36.7351,1.9953,4.2024809362751,TRUE,TRUE
"TCGA-CZ-5985",17.1575,0.3883,5.46552020588656,TRUE,TRUE
"TCGA-CZ-5986",11.8647,1.0576,3.48780839272368,TRUE,TRUE
"TCGA-CZ-5987",25.3212,7.5327,1.74910666447064,TRUE,TRUE
"TCGA-CZ-5988",16.146,0.9812,4.04048437170779,TRUE,TRUE
"TCGA-CZ-5989",6.557,6.0098,0.12571889450923,TRUE,FALSE
