"patient_id","sample_type","TPM"
"TCGA-3Z-A93Z","Primary Tumor",8.3463
"TCGA-6D-AA2E","Primary Tumor",2.9356
"TCGA-A3-3306","Primary Tumor",22.2049
"TCGA-A3-3307","Primary Tumor",8.1088
"TCGA-A3-3308","Primary Tumor",11.785
"TCGA-A3-3311","Primary Tumor",14.8939
"TCGA-A3-3313","Primary Tumor",3.1394
"TCGA-A3-3316","Primary Tumor",11.7685
"TCGA-A3-3317","Primary Tumor",11.9244
"TCGA-A3-3319","Primary Tumor",31.5597
"TCGA-A3-3320","Primary Tumor",11.2582
"TCGA-A3-3322","Primary Tumor",11.1194
"TCGA-A3-3323","Primary Tumor",23.7429
"TCGA-A3-3324","Primary Tumor",14.3156
"TCGA-A3-3325","Primary Tumor",11.6696
"TCGA-A3-3326","Primary Tumor",16.0044
"TCGA-A3-3328","Primary Tumor",0.5882
"TCGA-A3-3329","Primary Tumor",7.3977
"TCGA-A3-3331","Primary Tumor",6.3657
"TCGA-A3-3335","Primary Tumor",14.6721
"TCGA-A3-3343","Primary Tumor",8.769
"TCGA-A3-3346","Primary Tumor",21.4328
"TCGA-A3-3347","Primary Tumor",46.2033
"TCGA-A3-3349","Primary Tumor",18.2202
"TCGA-A3-3351","Primary Tumor",39.9493
"TCGA-A3-3352","Primary Tumor",5.7683
"TCGA-A3-3357","Primary Tumor",10.4526
"TCGA-A3-3358","Primary Tumor",15.0349
"TCGA-A3-3359","Primary Tumor",15.2469
"TCGA-A3-3362","Primary Tumor",6.2395
"TCGA-A3-3363","Primary Tumor",14.1558
"TCGA-A3-3365","Primary Tumor",7.5112
"TCGA-A3-3367","Primary Tumor",16.8552
"TCGA-A3-3370","Primary Tumor",23.4684
"TCGA-A3-3372","Primary Tumor",20.7874
"TCGA-A3-3373","Primary Tumor",3.8627
"TCGA-A3-3374","Primary Tumor",2.2323
"TCGA-A3-3376","Primary Tumor",14.2228
"TCGA-A3-3378","Primary Tumor",53.8495
"TCGA-A3-3380","Primary Tumor",10.265
"TCGA-A3-3382","Primary Tumor",35.7091
"TCGA-A3-3383","Primary Tumor",26.0455
"TCGA-A3-3385","Primary Tumor",9.231
"TCGA-A3-3387","Primary Tumor",22.6273
"TCGA-A3-A6NI","Primary Tumor",14.3942
"TCGA-A3-A6NJ","Primary Tumor",16.83
"TCGA-A3-A6NL","Primary Tumor",14.6465
"TCGA-A3-A6NN","Primary Tumor",15.2812
"TCGA-A3-A8CQ","Primary Tumor",6.9998
"TCGA-A3-A8OU","Primary Tumor",11.7917
"TCGA-A3-A8OV","Primary Tumor",13.787
"TCGA-A3-A8OW","Primary Tumor",6.4098
"TCGA-A3-A8OX","Primary Tumor",15.5264
"TCGA-AK-3425","Primary Tumor",13.5045
"TCGA-AK-3426","Primary Tumor",35.6712
"TCGA-AK-3427","Primary Tumor",0.1371
"TCGA-AK-3428","Primary Tumor",5.96
"TCGA-AK-3429","Primary Tumor",11.8304
"TCGA-AK-3431","Primary Tumor",9.9479
"TCGA-AK-3433","Primary Tumor",1.5063
"TCGA-AK-3434","Primary Tumor",5.8816
"TCGA-AK-3436","Primary Tumor",14.6575
"TCGA-AK-3440","Primary Tumor",1.4901
"TCGA-AK-3443","Primary Tumor",0.1454
"TCGA-AK-3444","Primary Tumor",3.0526
"TCGA-AK-3445","Primary Tumor",34.9725
"TCGA-AK-3447","Primary Tumor",0.2281
"TCGA-AK-3450","Primary Tumor",3.6128
"TCGA-AK-3451","Primary Tumor",1.9871
"TCGA-AK-3453","Primary Tumor",19.2297
"TCGA-AK-3454","Primary Tumor",24.8212
"TCGA-AK-3455","Primary Tumor",18.8796
"TCGA-AK-3456","Primary Tumor",1.9955
"TCGA-AK-3458","Primary Tumor",6.7995
"TCGA-AK-3460","Primary Tumor",5.5231
"TCGA-AK-3461","Primary Tumor",15.6253
"TCGA-AK-3465","Primary Tumor",1.341
"TCGA-AS-3777","Primary Tumor",0.9023
"TCGA-AS-3778","Primary Tumor",11.3357
"TCGA-B0-4688","Primary Tumor",29.6658
"TCGA-B0-4690","Primary Tumor",37.6009
"TCGA-B0-4691","Primary Tumor",12.0096
"TCGA-B0-4693","Primary Tumor",17.9485
"TCGA-B0-4694","Primary Tumor",19.2768
"TCGA-B0-4696","Primary Tumor",6.6375
"TCGA-B0-4697","Primary Tumor",39.6506
"TCGA-B0-4698","Primary Tumor",25.9622
"TCGA-B0-4699","Primary Tumor",19.5937
"TCGA-B0-4700","Primary Tumor",33.7195
"TCGA-B0-4701","Primary Tumor",27.3884
"TCGA-B0-4703","Primary Tumor",30.3277
"TCGA-B0-4706","Primary Tumor",7.5293
"TCGA-B0-4707","Primary Tumor",9.2577
"TCGA-B0-4710","Primary Tumor",11.2984
"TCGA-B0-4712","Primary Tumor",18.9239
"TCGA-B0-4713","Primary Tumor",11.3276
"TCGA-B0-4714","Primary Tumor",17.5022
"TCGA-B0-4718","Primary Tumor",14.5316
"TCGA-B0-4810","Primary Tumor",39.2616
"TCGA-B0-4811","Primary Tumor",9.6812
"TCGA-B0-4813","Primary Tumor",27.3276
"TCGA-B0-4814","Primary Tumor",9.2914
"TCGA-B0-4815","Primary Tumor",45.2965
"TCGA-B0-4816","Primary Tumor",13.3501
"TCGA-B0-4817","Primary Tumor",21.6944
"TCGA-B0-4818","Primary Tumor",13.6361
"TCGA-B0-4819","Primary Tumor",34.7167
"TCGA-B0-4821","Primary Tumor",32.1042
"TCGA-B0-4822","Primary Tumor",26.7274
"TCGA-B0-4823","Primary Tumor",12.8924
"TCGA-B0-4824","Primary Tumor",24.5459
"TCGA-B0-4827","Primary Tumor",26.2033
"TCGA-B0-4828","Primary Tumor",12.9949
"TCGA-B0-4833","Primary Tumor",13.8207
"TCGA-B0-4834","Primary Tumor",0.7479
"TCGA-B0-4836","Primary Tumor",28.3752
"TCGA-B0-4837","Primary Tumor",20.002
"TCGA-B0-4838","Primary Tumor",21.2925
"TCGA-B0-4839","Primary Tumor",7.6203
"TCGA-B0-4841","Primary Tumor",2.8861
"TCGA-B0-4842","Primary Tumor",57.1974
"TCGA-B0-4843","Primary Tumor",14.8414
"TCGA-B0-4844","Primary Tumor",33.5276
"TCGA-B0-4845","Primary Tumor",14.4275
"TCGA-B0-4846","Primary Tumor",11.8909
"TCGA-B0-4847","Primary Tumor",20.2038
"TCGA-B0-4848","Primary Tumor",19.3031
"TCGA-B0-4849","Primary Tumor",16.9655
"TCGA-B0-4852","Primary Tumor",6.7377
"TCGA-B0-4945","Primary Tumor",11.0989
"TCGA-B0-5075","Primary Tumor",11.9488
"TCGA-B0-5077","Primary Tumor",19.0467
"TCGA-B0-5080","Primary Tumor",17.5912
"TCGA-B0-5081","Primary Tumor",38.612
"TCGA-B0-5083","Primary Tumor",3.5789
"TCGA-B0-5084","Primary Tumor",16.3192
"TCGA-B0-5085","Primary Tumor",4.1213
"TCGA-B0-5088","Primary Tumor",13.1558
"TCGA-B0-5092","Primary Tumor",29.9275
"TCGA-B0-5094","Primary Tumor",42.6448
"TCGA-B0-5095","Primary Tumor",27.5487
"TCGA-B0-5096","Primary Tumor",13.0625
"TCGA-B0-5097","Primary Tumor",28.6705
"TCGA-B0-5098","Primary Tumor",5.2833
"TCGA-B0-5099","Primary Tumor",5.2384
"TCGA-B0-5100","Primary Tumor",12.2812
"TCGA-B0-5102","Primary Tumor",6.3466
"TCGA-B0-5104","Primary Tumor",6.6826
"TCGA-B0-5106","Primary Tumor",29.7555
"TCGA-B0-5107","Primary Tumor",26.8548
"TCGA-B0-5108","Primary Tumor",40.1346
"TCGA-B0-5109","Primary Tumor",22.0618
"TCGA-B0-5110","Primary Tumor",11.1782
"TCGA-B0-5113","Primary Tumor",17.2307
"TCGA-B0-5115","Primary Tumor",7.8539
"TCGA-B0-5116","Primary Tumor",15.4126
"TCGA-B0-5117","Primary Tumor",1.1122
"TCGA-B0-5119","Primary Tumor",14.8799
"TCGA-B0-5120","Primary Tumor",12.2869
"TCGA-B0-5121","Primary Tumor",7.2449
"TCGA-B0-5399","Primary Tumor",16.3009
"TCGA-B0-5400","Primary Tumor",29.3627
"TCGA-B0-5402","Primary Tumor",5.8376
"TCGA-B0-5690","Primary Tumor",9.3306
"TCGA-B0-5691","Primary Tumor",13.5959
"TCGA-B0-5692","Primary Tumor",45.6451
"TCGA-B0-5693","Primary Tumor",5.5314
"TCGA-B0-5694","Primary Tumor",10.6302
"TCGA-B0-5695","Primary Tumor",4.0637
"TCGA-B0-5696","Primary Tumor",5.2731
"TCGA-B0-5697","Primary Tumor",16.2404
"TCGA-B0-5698","Primary Tumor",8.5541
"TCGA-B0-5699","Primary Tumor",12.378
"TCGA-B0-5700","Primary Tumor",8.8484
"TCGA-B0-5701","Primary Tumor",12.4675
"TCGA-B0-5702","Primary Tumor",42.4112
"TCGA-B0-5703","Primary Tumor",9.3813
"TCGA-B0-5705","Primary Tumor",5.3553
"TCGA-B0-5706","Primary Tumor",13.2457
"TCGA-B0-5707","Primary Tumor",8.0127
"TCGA-B0-5709","Primary Tumor",20.6616
"TCGA-B0-5710","Primary Tumor",23.32
"TCGA-B0-5711","Primary Tumor",17.9987
"TCGA-B0-5712","Primary Tumor",13.009
"TCGA-B0-5713","Primary Tumor",8.518
"TCGA-B0-5812","Primary Tumor",9.3995
"TCGA-B2-3923","Primary Tumor",1.7814
"TCGA-B2-3924","Primary Tumor",16.6259
"TCGA-B2-4098","Primary Tumor",11.8727
"TCGA-B2-4099","Primary Tumor",9.5951
"TCGA-B2-4101","Primary Tumor",19.6075
"TCGA-B2-4102","Primary Tumor",17.0027
"TCGA-B2-5633","Primary Tumor",18.7031
"TCGA-B2-5635","Primary Tumor",23.4403
"TCGA-B2-5636","Primary Tumor",16.1487
"TCGA-B2-5639","Primary Tumor",11.6704
"TCGA-B2-5641","Primary Tumor",33.5536
"TCGA-B2-A4SR","Primary Tumor",13.4928
"TCGA-B4-5377","Primary Tumor",10.2523
"TCGA-B4-5378","Primary Tumor",8.7441
"TCGA-B4-5832","Primary Tumor",7.4702
"TCGA-B4-5834","Primary Tumor",12.8325
"TCGA-B4-5835","Primary Tumor",4.009
"TCGA-B4-5836","Primary Tumor",14.5336
"TCGA-B4-5838","Primary Tumor",5.6405
"TCGA-B4-5843","Primary Tumor",10.353
"TCGA-B4-5844","Primary Tumor",4.5527
"TCGA-B8-4143","Primary Tumor",47.0592
"TCGA-B8-4146","Primary Tumor",3.8806
"TCGA-B8-4148","Primary Tumor",23.9291
"TCGA-B8-4151","Primary Tumor",2.692
"TCGA-B8-4153","Primary Tumor",7.1459
"TCGA-B8-4154","Primary Tumor",3.1357
"TCGA-B8-4619","Primary Tumor",1.2536
"TCGA-B8-4620","Primary Tumor",25.735
"TCGA-B8-4621","Primary Tumor",4.8987
"TCGA-B8-4622","Primary Tumor",12.1846
"TCGA-B8-5158","Primary Tumor",17.989
"TCGA-B8-5159","Primary Tumor",18.7529
"TCGA-B8-5162","Primary Tumor",13.7054
"TCGA-B8-5163","Primary Tumor",32.0708
"TCGA-B8-5164","Primary Tumor",22.3007
"TCGA-B8-5165","Primary Tumor",5.6656
"TCGA-B8-5545","Primary Tumor",12.5189
"TCGA-B8-5546","Primary Tumor",1.5198
"TCGA-B8-5549","Primary Tumor",12.6739
"TCGA-B8-5550","Primary Tumor",9.8619
"TCGA-B8-5551","Primary Tumor",33.8568
"TCGA-B8-5552","Primary Tumor",16.1507
"TCGA-B8-5553","Primary Tumor",12.9348
"TCGA-B8-A54D","Primary Tumor",17.4475
"TCGA-B8-A54E","Primary Tumor",4.503
"TCGA-B8-A54F","Primary Tumor",25.5256
"TCGA-B8-A54G","Primary Tumor",19.7289
"TCGA-B8-A54H","Primary Tumor",10.3714
"TCGA-B8-A54I","Primary Tumor",14.4977
"TCGA-B8-A54J","Primary Tumor",11.2419
"TCGA-B8-A54K","Primary Tumor",16.2127
"TCGA-B8-A7U6","Primary Tumor",11.5268
"TCGA-B8-A8YJ","Primary Tumor",27.7439
"TCGA-BP-4158","Primary Tumor",3.9033
"TCGA-BP-4159","Primary Tumor",3.5962
"TCGA-BP-4160","Primary Tumor",8.8603
"TCGA-BP-4161","Primary Tumor",16.344
"TCGA-BP-4162","Primary Tumor",12.4565
"TCGA-BP-4163","Primary Tumor",13.2309
"TCGA-BP-4164","Primary Tumor",7.0236
"TCGA-BP-4165","Primary Tumor",9.8778
"TCGA-BP-4166","Primary Tumor",4.0158
"TCGA-BP-4167","Primary Tumor",16.0037
"TCGA-BP-4169","Primary Tumor",25.2231
"TCGA-BP-4170","Primary Tumor",7.082
"TCGA-BP-4173","Primary Tumor",56.5274
"TCGA-BP-4174","Primary Tumor",9.5608
"TCGA-BP-4176","Primary Tumor",15.4785
"TCGA-BP-4177","Primary Tumor",7.4261
"TCGA-BP-4325","Primary Tumor",12.0553
"TCGA-BP-4326","Primary Tumor",16.821
"TCGA-BP-4327","Primary Tumor",22.2962
"TCGA-BP-4329","Primary Tumor",4.3359
"TCGA-BP-4330","Primary Tumor",27.0005
"TCGA-BP-4331","Primary Tumor",18.3388
"TCGA-BP-4332","Primary Tumor",18.5456
"TCGA-BP-4334","Primary Tumor",1.2368
"TCGA-BP-4335","Primary Tumor",10.5089
"TCGA-BP-4337","Primary Tumor",14.5523
"TCGA-BP-4338","Primary Tumor",8.348
"TCGA-BP-4340","Primary Tumor",4.2825
"TCGA-BP-4341","Primary Tumor",6.3265
