"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","TCGA-FD-A3NA-01A-11R-A21D-07","TCGA-FD-A3NA","Primary Tumor","95b7f49a-ba2e-41a3-99aa-630c2520e5b9","ENSG00000105639.20","JAK3",850,6.4135,2.1256,2.1184,"OK"
"TCGA-BLCA","TCGA-DK-A6B2-01A-11R-A30C-07","TCGA-DK-A6B2","Primary Tumor","0aacd6c6-c2cb-4304-8d2d-ff63e15629c2","ENSG00000105639.20","JAK3",893,8.3437,2.7157,2.763,"OK"
"TCGA-BLCA","TCGA-GV-A3QG-01A-11R-A220-07","TCGA-GV-A3QG","Primary Tumor","91c2d903-e9f9-48de-b116-7b98c6940134","ENSG00000105639.20","JAK3",6938,46.5672,15.9521,16.6378,"OK"
"TCGA-BLCA","TCGA-DK-A3IU-01A-11R-A20F-07","TCGA-DK-A3IU","Primary Tumor","eebbde83-748b-4ca1-99f6-a3243d73d338","ENSG00000105639.20","JAK3",4329,34.1541,10.8125,12.2178,"OK"
"TCGA-BLCA","TCGA-C4-A0EZ-01A-21R-A24X-07","TCGA-C4-A0EZ","Primary Tumor","252d07c5-f0a0-43ca-911d-a7b1d903a975","ENSG00000105639.20","JAK3",177,1.8194,0.5266,0.4847,"OK"
"TCGA-BLCA","TCGA-HQ-A2OF-01A-11R-A26T-07","TCGA-HQ-A2OF","Primary Tumor","29efdff8-0a21-4955-bdd6-598c91fd2840","ENSG00000105639.20","JAK3",294,3.6358,0.948,0.8756,"OK"
"TCGA-BLCA","TCGA-BT-A3PJ-01A-21R-A220-07","TCGA-BT-A3PJ","Primary Tumor","1c69388f-5363-4762-ad0e-ecc431de99d2","ENSG00000105639.20","JAK3",738,6.2593,1.7765,1.7763,"OK"
"TCGA-BLCA","TCGA-K4-A3WU-01B-11R-A23N-07","TCGA-K4-A3WU","Primary Tumor","aed471ec-47d4-4e8a-b5d7-182558c1a1d4","ENSG00000105639.20","JAK3",3037,20.8979,7.0391,6.9373,"OK"
"TCGA-BLCA","TCGA-FD-A3B7-01A-31R-A20F-07","TCGA-FD-A3B7","Primary Tumor","d30946e4-eb06-43d5-838f-7b49aff86b06","ENSG00000105639.20","JAK3",2292,17.7264,5.9031,6.5783,"OK"
"TCGA-BLCA","TCGA-GU-A42P-01A-11R-A23W-07","TCGA-GU-A42P","Primary Tumor","5839225c-030d-4435-83ba-5f8db75b9158","ENSG00000105639.20","JAK3",201,1.4551,0.4663,0.4573,"OK"
"TCGA-BLCA","TCGA-GV-A40E-01A-12R-A23N-07","TCGA-GV-A40E","Primary Tumor","7bef9a78-a90f-447f-bdaa-3e9b821d5968","ENSG00000105639.20","JAK3",993,9.3132,2.9099,2.9966,"OK"
"TCGA-BLCA","TCGA-BL-A0C8-01B-04R-A277-07","TCGA-BL-A0C8","Primary Tumor","1dffefdd-9d5e-44f2-9646-a949b3a23972","ENSG00000105639.20","JAK3",520,11.2748,3.7883,3.4078,"OK"
"TCGA-BLCA","TCGA-FD-A6TK-01A-42R-A33J-07","TCGA-FD-A6TK","Primary Tumor","05e5accb-e761-4534-a81e-bf0354f7810c","ENSG00000105639.20","JAK3",1575,15.0655,4.4519,4.938,"OK"
"TCGA-BLCA","TCGA-ZF-AA4N-01A-11R-A38B-07","TCGA-ZF-AA4N","Primary Tumor","b8e668aa-1359-418b-9cd6-dc200dd91706","ENSG00000105639.20","JAK3",432,5.7695,1.7304,1.9052,"OK"
"TCGA-BLCA","TCGA-DK-A1AA-01A-11R-A13Y-07","TCGA-DK-A1AA","Primary Tumor","51a41e15-b4aa-414d-97df-5ea3b2311a8f","ENSG00000105639.20","JAK3",433,3.1592,0.9827,1.0195,"OK"
