"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status","Gene","log2TPM1"
"TCGA-KIRC","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","fc63bae4-fdfb-4990-9902-3e0fb51ec092","ENSG00000105639.20","JAK3",627,8.8603,2.7917,2.8702,"OK","JAK3",3.30163154132206
"TCGA-KIRC","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","4a29721a-1de3-4e14-b905-f39aacb1bd53","ENSG00000105639.20","JAK3",1580,9.3451,2.531,2.5571,"OK","JAK3",3.37087568583751
"TCGA-KIRC","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","862e5c87-bed8-4310-b9ed-1018568bdc78","ENSG00000105639.20","JAK3",1604,9.2747,2.8487,3.0304,"OK","JAK3",3.36102436569644
"TCGA-KIRC","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","813cb150-7ef6-4fa7-9a64-c70f9401513c","ENSG00000105639.20","JAK3",5374,23.951,10.9874,14.2888,"OK","JAK3",4.64102573273968
"TCGA-KIRC","TCGA-CJ-4894-01A-01R-1305-07","TCGA-CJ-4894","Primary Tumor","4ea0bf83-1d7e-41da-a34d-221add8155b2","ENSG00000105639.20","JAK3",3395,26.5781,8.1913,8.0304,"OK","JAK3",4.78545116033242
"TCGA-KIRC","TCGA-BP-4158-01A-02R-1289-07","TCGA-BP-4158","Primary Tumor","ea7e9f5a-844c-4cf4-8f0a-7deab41b5233","ENSG00000105639.20","JAK3",504,3.9033,1.4771,1.5631,"OK","JAK3",2.29375303314546
"TCGA-KIRC","TCGA-BP-4782-01A-02R-1420-07","TCGA-BP-4782","Primary Tumor","2670a02b-5a81-45b7-8b6c-f94b21bd2aa1","ENSG00000105639.20","JAK3",1376,11.8094,3.5347,3.7046,"OK","JAK3",3.67913099544614
"TCGA-KIRC","TCGA-AK-3454-01A-02R-1277-07","TCGA-AK-3454","Primary Tumor","457ef116-5df9-4a29-b802-65622d6ca5e9","ENSG00000105639.20","JAK3",1635,24.8212,11.9767,15.2496,"OK","JAK3",4.69048414409251
"TCGA-KIRC","TCGA-B2-5639-01A-01R-1541-07","TCGA-B2-5639","Primary Tumor","0b4cbedf-b064-4d5a-aa85-8726640d9c63","ENSG00000105639.20","JAK3",845,11.6704,4.0169,3.9907,"OK","JAK3",3.66339016545189
"TCGA-KIRC","TCGA-CJ-4904-01A-02R-1426-07","TCGA-CJ-4904","Primary Tumor","fa157012-d4c8-43c3-b4fe-a02f13fcec40","ENSG00000105639.20","JAK3",937,5.9364,1.7233,1.7684,"OK","JAK3",2.7941870965668
"TCGA-KIRC","TCGA-A3-3328-01A-01R-0864-07","TCGA-A3-3328","Primary Tumor","04f48a21-1ab5-45d0-ba8a-8b6cd53ca1ff","ENSG00000105639.20","JAK3",99,0.5882,0.2078,0.2227,"OK","JAK3",0.667392600667105
"TCGA-KIRC","TCGA-CZ-4865-11A-01R-1503-07","TCGA-CZ-4865","Solid Tissue Normal","34bd0526-91b2-4b99-a33b-5d4bc8c68d39","ENSG00000105639.20","JAK3",275,2.4041,0.7377,0.7347,"OK","JAK3",1.76727341874685
"TCGA-KIRC","TCGA-BP-4976-01A-01R-1334-07","TCGA-BP-4976","Primary Tumor","ba97a1ce-36b3-4212-960b-b64a7cc2ea82","ENSG00000105639.20","JAK3",631,4.141,1.1108,1.1649,"OK","JAK3",2.36204901208824
"TCGA-KIRC","TCGA-BP-5006-01A-01R-1334-07","TCGA-BP-5006","Primary Tumor","ba3ab6f6-109b-485c-b600-d6cf3edb4b28","ENSG00000105639.20","JAK3",702,4.2606,1.4843,1.6251,"OK","JAK3",2.39522735610665
"TCGA-KIRC","TCGA-AK-3429-01A-02R-1325-07","TCGA-AK-3429","Primary Tumor","06632416-4901-4939-b250-35cd1b8b8323","ENSG00000105639.20","JAK3",1123,11.8304,4.025,4.2524,"OK","JAK3",3.68149424341479
"TCGA-KIRC","TCGA-BP-4327-01A-01R-1289-07","TCGA-BP-4327","Primary Tumor","bb4ec992-dd81-4758-b4f2-7560fbc4cf2b","ENSG00000105639.20","JAK3",3010,22.2962,8.4275,9.3167,"OK","JAK3",4.54202274125818
"TCGA-KIRC","TCGA-BP-5181-01A-01R-1426-07","TCGA-BP-5181","Primary Tumor","a78e44f3-6e93-47f4-9653-2ce1b1d7d25d","ENSG00000105639.20","JAK3",1322,12.069,3.4109,3.5742,"OK","JAK3",3.70807684962172
"TCGA-KIRC","TCGA-DV-5576-01A-01R-1541-07","TCGA-DV-5576","Primary Tumor","96ae86b9-6d2a-4b13-9765-a0a5b71519c4","ENSG00000105639.20","JAK3",1176,11.075,2.9791,3.0209,"OK","JAK3",3.59395128394841
"TCGA-KIRC","TCGA-CW-5584-01A-01R-1541-07","TCGA-CW-5584","Primary Tumor","f1d244a9-f031-4286-b433-572de7ed8d42","ENSG00000105639.20","JAK3",1503,13.0135,3.7415,3.6807,"OK","JAK3",3.8087454219637
"TCGA-KIRC","TCGA-B0-4707-01A-01R-1277-07","TCGA-B0-4707","Primary Tumor","4b2c1bf1-9a07-4b71-8a9a-c60c9564b686","ENSG00000105639.20","JAK3",1062,9.2577,4.3963,5.8848,"OK","JAK3",3.35863537840811
"TCGA-KIRC","TCGA-CW-5584-11A-01R-1541-07","TCGA-CW-5584","Solid Tissue Normal","0699530d-22a4-4fb0-a17c-ff78397c5316","ENSG00000105639.20","JAK3",1069,9.8197,3.0309,2.965,"OK","JAK3",3.43558859271082
"TCGA-KIRC","TCGA-BP-4762-01A-02R-1289-07","TCGA-BP-4762","Primary Tumor","4dcd0f2b-a6c0-4732-92eb-37a593afd93a","ENSG00000105639.20","JAK3",643,5.857,1.6476,1.7458,"OK","JAK3",2.77757752220378
"TCGA-KIRC","TCGA-CZ-5984-01A-11R-1672-07","TCGA-CZ-5984","Primary Tumor","a136ae8b-1e0d-4843-a461-ce554ad77458","ENSG00000105639.20","JAK3",5079,36.7351,11.2259,12.1817,"OK","JAK3",5.2378351923181
"TCGA-KIRC","TCGA-BP-4347-01A-01R-1289-07","TCGA-BP-4347","Primary Tumor","9befd66c-7e2b-4081-b933-3c69d94cad96","ENSG00000105639.20","JAK3",1370,7.5297,2.5256,2.6524,"OK","JAK3",3.09249500108361
"TCGA-KIRC","TCGA-BP-5007-01A-01R-1334-07","TCGA-BP-5007","Primary Tumor","a3bdc783-f9de-42d6-b0ad-eadec504b7d8","ENSG00000105639.20","JAK3",1541,10.704,3.361,3.6082,"OK","JAK3",3.5489297694764
"TCGA-KIRC","TCGA-B0-5116-01A-02R-1420-07","TCGA-B0-5116","Primary Tumor","83300c43-0958-4165-99cf-e956cb47d38b","ENSG00000105639.20","JAK3",2020,15.4126,5.1738,6.124,"OK","JAK3",4.03673189619986
"TCGA-KIRC","TCGA-B0-5699-11A-01R-1541-07","TCGA-B0-5699","Solid Tissue Normal","0a98d561-9c8c-40d2-aaaf-cad735533329","ENSG00000105639.20","JAK3",114,0.8664,0.3433,0.3772,"OK","JAK3",0.90025821243475
"TCGA-KIRC","TCGA-BP-4340-01A-01R-1289-07","TCGA-BP-4340","Primary Tumor","ffe0d448-20d6-4952-9650-03531ef6fc79","ENSG00000105639.20","JAK3",583,4.2825,1.257,1.2329,"OK","JAK3",2.40122086216022
"TCGA-KIRC","TCGA-CZ-4860-01A-01R-1305-07","TCGA-CZ-4860","Primary Tumor","3a6bb1dd-89ba-4f26-b7d7-c0c174c0bdf1","ENSG00000105639.20","JAK3",1888,16.5853,4.4705,5.4625,"OK","JAK3",4.13629804200983
"TCGA-KIRC","TCGA-CZ-5458-11A-01R-1503-07","TCGA-CZ-5458","Solid Tissue Normal","331a54d0-3061-4e9e-93c7-3fb0f9a96254","ENSG00000105639.20","JAK3",333,1.7496,0.5213,0.5596,"OK","JAK3",1.45922175682285
"TCGA-KIRC","TCGA-CZ-5458-01A-01R-1503-07","TCGA-CZ-5458","Primary Tumor","206a4211-c6c8-4f43-be95-1f36289d7bd6","ENSG00000105639.20","JAK3",1045,7.8933,2.3405,2.45,"OK","JAK3",3.15271885327587
"TCGA-KIRC","TCGA-B0-4823-01A-02R-1420-07","TCGA-B0-4823","Primary Tumor","b8a61143-0c20-4db9-a4fd-9c8b375ba841","ENSG00000105639.20","JAK3",1497,12.8924,3.8278,4.1151,"OK","JAK3",3.79622395043412
