"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-A3-3358",15.0349,1.2857,"JAK3",4.00314345147615,1.19263606107021,2.81050739040594
"TCGA-A3-3387",22.6273,1.08,"JAK3",4.5623828702352,1.05658352836637,3.50579934186883
"TCGA-B0-4700",33.7195,1.7803,"JAK3",5.11767426638189,1.47524056106424,3.64243370531765
"TCGA-B0-4712",18.9239,3.1301,"JAK3",4.31642817000136,2.04617671330514,2.27025145669622
"TCGA-B0-5402",5.8376,6.28,"JAK3",2.77349002749556,2.86393845042397,-0.0904484229284135
"TCGA-B0-5690",9.3306,0.8919,"JAK3",3.36885214307742,0.919835834281514,2.4490163087959
"TCGA-B0-5691",13.5959,6.1649,"JAK3",3.86749126670766,2.8409465690358,1.02654469767186
"TCGA-B0-5694",10.6302,4.6571,"JAK3",3.53980400137409,2.50006267358536,1.03974132778874
"TCGA-B0-5696",5.2731,1.8208,"JAK3",2.64917856095156,1.49610437977073,1.15307418118083
"TCGA-B0-5697",16.2404,0.9158,"JAK3",4.10772134212886,0.9379469587418,3.16977438338706
"TCGA-B0-5699",12.378,0.8664,"JAK3",3.74179054526489,0.90025821243475,2.84153233283014
"TCGA-B0-5701",12.4675,3.5063,"JAK3",3.75141016006437,2.17194336197662,1.57946679808775
"TCGA-B0-5703",9.3813,1.8626,"JAK3",3.37591521161958,1.51732609215601,1.85858911946357
"TCGA-B0-5705",5.3553,1.6704,"JAK3",2.66796022881746,1.41705585981315,1.25090436900431
"TCGA-B0-5706",13.2457,1.2186,"JAK3",3.83245460891252,1.14964958189498,2.68280502701754
"TCGA-B0-5709",20.6616,2.3995,"JAK3",4.43706790416848,1.76532256972595,2.67174533444253
"TCGA-B0-5711",17.9987,1.6668,"JAK3",4.24782879935316,1.41510963222758,2.83271916712558
"TCGA-B0-5712",13.009,5.5535,"JAK3",3.8082820708894,2.71226560650329,1.09601646438611
"TCGA-B2-5636",16.1487,4.8913,"JAK3",4.10002730833268,2.55858602057688,1.5414412877558
"TCGA-B2-5641",33.5536,2.6125,"JAK3",5.11076412189981,1.85299758761332,3.25776653428649
"TCGA-B8-4619",1.2536,1.5208,"JAK3",1.17223146882548,1.33388165946809,-0.161650190642609
"TCGA-B8-4620",25.735,5.2847,"JAK3",4.74065777162389,2.6518438792771,2.08881389234679
"TCGA-B8-4622",12.1846,2.0013,"JAK3",3.72078189765828,1.58558753315829,2.13519436449999
"TCGA-B8-5549",12.6739,1.8588,"JAK3",3.77335287464193,1.51540969338596,2.25794318125597
"TCGA-B8-5552",16.1507,10.5973,"JAK3",4.10019555559561,3.53571706144621,0.564478494149398
"TCGA-CJ-5672",14.7186,2.1861,"JAK3",3.97440082247106,1.67179154848281,2.30260927398824
"TCGA-CJ-5676",16.6638,5.6152,"JAK3",4.14272383716128,2.72578477474226,1.41693906241902
"TCGA-CJ-5677",13.571,3.3542,"JAK3",3.86502798708279,2.12240767587279,1.74262031121
"TCGA-CJ-5678",9.7154,1.3716,"JAK3",3.42161380092098,1.24586070184035,2.17575309908062
"TCGA-CJ-5679",15.6755,4.9182,"JAK3",4.05965811487029,2.565158451877,1.49449966299329
"TCGA-CJ-5680",6.5011,8.2802,"JAK3",2.90710217536571,3.21415589758334,-0.307053722217627
"TCGA-CJ-5681",1.5554,1.4793,"JAK3",1.35354913572204,1.30993285082193,0.0436162849001174
"TCGA-CJ-5689",12.3914,5.3642,"JAK3",3.74323488956566,2.66997917420987,1.07325571535579
"TCGA-CJ-6030",31.7576,2.1045,"JAK3",5.03375775605021,1.63436093169658,3.39939682435363
"TCGA-CJ-6033",23.9396,3.4994,"JAK3",4.64036642121597,2.16973262927843,2.47063379193754
"TCGA-CW-5580",16.1096,1.9594,"JAK3",4.09673412679172,1.56530470802725,2.53142941876447
"TCGA-CW-5581",7.2483,0.7878,"JAK3",3.04409680611064,0.838185352210878,2.20591145389976
"TCGA-CW-5584",13.0135,9.8197,"JAK3",3.8087454219637,3.43558859271082,0.373156829252876
"TCGA-CW-5585",1.458,1.0935,"JAK3",1.29748491571057,1.06591691807821,0.23156799763236
"TCGA-CW-5587",14.7355,1.3075,"JAK3",3.97595111629839,1.20633064787105,2.76962046842734
"TCGA-CW-5589",9.7444,2.5372,"JAK3",3.42551301542007,1.82260779406025,1.60290522135982
"TCGA-CW-5591",6.2044,16.776,"JAK3",2.84887828424195,4.151858816727,-1.30298053248505
"TCGA-CW-6087",66.7297,0.9156,"JAK3",6.08171670042679,0.937796340686552,5.14392035974024
"TCGA-CW-6088",7.5658,1.3522,"JAK3",3.09858799261809,1.2340107331084,1.86457725950969
"TCGA-CW-6090",10.0671,0.8703,"JAK3",3.46820532570331,0.903269699951799,2.56493562575151
"TCGA-CZ-4863",22.0022,2.7535,"JAK3",4.52369994637454,1.90823648299689,2.61546346337765
"TCGA-CZ-4864",13.5835,1.2499,"JAK3",3.86626509896028,1.16986088023779,2.69640421872249
"TCGA-CZ-4865",6.4535,2.4041,"JAK3",2.89791804260918,1.76727341874685,1.13064462386233
"TCGA-CZ-5451",4.0786,0.8602,"JAK3",2.34443084907941,0.895457741492683,1.44897310758673
"TCGA-CZ-5452",14.9681,1.3319,"JAK3",3.99712075556072,1.22150592207296,2.77561483348776
"TCGA-CZ-5453",7.4348,2.4805,"JAK3",3.076353860756,1.7992945749546,1.2770592858014
"TCGA-CZ-5454",8.5141,2.4259,"JAK3",3.25006718913744,1.77648304061933,1.47358414851811
"TCGA-CZ-5455",17.6622,1.4283,"JAK3",4.22204716371384,1.27994666779454,2.9421004959193
"TCGA-CZ-5456",24.0474,1.5602,"JAK3",4.64658894973368,1.35625651637282,3.29033243336086
"TCGA-CZ-5457",5.186,2.8837,"JAK3",2.62900683342718,1.95743176274779,0.671575070679388
"TCGA-CZ-5458",7.8933,1.7496,"JAK3",3.15271885327587,1.45922175682285,1.69349709645302
"TCGA-CZ-5461",16.1301,2.5926,"JAK3",4.09846166832229,1.84502831464954,2.25343335367275
"TCGA-CZ-5462",18.0037,1.6586,"JAK3",4.24820843196826,1.41066673265765,2.83754169931061
"TCGA-CZ-5463",15.3194,1.7389,"JAK3",4.02851611096289,1.45359659275458,2.5749195182083
"TCGA-CZ-5465",5.153,1.4305,"JAK3",2.62128999253892,1.28125313412649,1.34003685841243
"TCGA-CZ-5466",13.2652,1.8802,"JAK3",3.83442806872501,1.52616899534465,2.30825907338036
"TCGA-CZ-5467",8.574,2.0582,"JAK3",3.25912180605768,1.61268275907708,1.6464390469806
"TCGA-CZ-5468",16.3297,3.0678,"JAK3",4.11517477464462,2.02424874849204,2.09092602615258
"TCGA-CZ-5469",14.5232,2.2967,"JAK3",3.95635408464537,1.72102260760142,2.23533147704395
"TCGA-CZ-5470",8.5829,2.2998,"JAK3",3.2604623138421,1.72237858575832,1.53808372808378
"TCGA-CZ-5982",9.3953,0.394,"JAK3",3.37785948870336,0.479230561206336,2.89862892749703
"TCGA-CZ-5984",36.7351,1.9953,"JAK3",5.2378351923181,1.58270050613164,3.65513468618645
"TCGA-CZ-5985",17.1575,0.3883,"JAK3",4.18249367494537,0.473319355917436,3.70917431902793
"TCGA-CZ-5986",11.8647,1.0576,"JAK3",3.68534590924173,1.0409625477785,2.64438336146323
"TCGA-CZ-5987",25.3212,7.5327,"JAK3",4.71815335883075,3.09300232539523,1.62515103343551
"TCGA-CZ-5988",16.146,0.9812,"JAK3",4.09980014339942,0.986374526084965,3.11342561731445
"TCGA-CZ-5989",6.557,6.0098,"JAK3",2.91781362279331,2.80937328259191,0.108440340201401
"TCGA-A3-3358",2.5778,1.0764,"EPHB2",1.83907274259588,1.05408439284238,0.784988349753498
"TCGA-A3-3387",3.624,0.812,"EPHB2",2.20914139783859,0.857582955384148,1.35155844245444
"TCGA-B0-4700",2.0686,0.8673,"EPHB2",1.61758059900527,0.900953729247535,0.716626869757732
"TCGA-B0-4712",0.7875,8.7422,"EPHB2",0.837943241891027,3.28424760092076,-2.44630435902973
"TCGA-B0-5402",0.7061,2.0422,"EPHB2",0.770702210123939,1.60511500168944,-0.834412791565499
"TCGA-B0-5690",0.2406,3.6137,"EPHB2",0.311038030022305,2.20592419765259,-1.89488616763028
"TCGA-B0-5691",4.1646,3.6419,"EPHB2",2.36865661620297,2.21471544317829,0.153941173024686
"TCGA-B0-5694",0.7412,2.7463,"EPHB2",0.800081925238451,1.90546643379942,-1.10538450856097
"TCGA-B0-5696",0.7921,1.8138,"EPHB2",0.841651142685061,1.49251978796948,-0.650868645284424
"TCGA-B0-5697",5.0911,1.7536,"EPHB2",2.60670278991163,1.46131900249075,1.14538378742087
"TCGA-B0-5699",0.8727,1.3487,"EPHB2",0.905119803383616,1.2318624493431,-0.326742645959488
"TCGA-B0-5701",1.0606,4.9528,"EPHB2",1.04306447866494,2.57356842403926,-1.53050394537432
"TCGA-B0-5703",0.1749,3.339,"EPHB2",0.232537969008518,2.11736258615466,-1.88482461714614
"TCGA-B0-5705",1.3914,3.8141,"EPHB2",1.25785546411516,2.26726611023901,-1.00941064612386
"TCGA-B0-5706",0.4492,2.8243,"EPHB2",0.535256710903838,1.93519570102155,-1.39993899011771
"TCGA-B0-5709",5.3772,1.4374,"EPHB2",2.67292312731386,1.28534303015926,1.3875800971546
"TCGA-B0-5711",0.9022,4.8642,"EPHB2",0.927668941171634,2.5519343077841,-1.62426536661247
"TCGA-B0-5712",0.4249,6.3988,"EPHB2",0.510860673967615,2.8872913012234,-2.37643062725579
"TCGA-B2-5636",1.4207,1.8878,"EPHB2",1.27542429563988,1.52997082913658,-0.254546533496704
"TCGA-B2-5641",4.595,9.4036,"EPHB2",2.48413813120167,3.37901093127725,-0.89487280007558
"TCGA-B8-4619",0.6166,0.6906,"EPHB2",0.692962752772919,0.7575353550288,-0.0645726022558818
