"project","file_id","sample_barcode","patient_id","sample_type","gene_name","gene_id","TPM","extraction_status"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","PTPRC","ENSG00000081237.20",71.3982,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","CD3D","ENSG00000167286.10",160.5014,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","CD3E","ENSG00000198851.10",90.9171,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","MS4A1","ENSG00000156738.18",1.3523,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","CD79A","ENSG00000105369.10",7.9513,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","NKG7","ENSG00000105374.10",367.0187,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","LST1","ENSG00000204482.11",36.0876,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","TYROBP","ENSG00000011600.12",541.5645,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","FCER1G","ENSG00000158869.11",271.6495,"OK"
"TCGA-KIRC","fc63bae4-fdfb-4990-9902-3e0fb51ec092","TCGA-BP-4160-01A-02R-1289-07","TCGA-BP-4160","Primary Tumor","CD68","ENSG00000129226.14",0.178,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","PTPRC","ENSG00000081237.20",29.8003,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","CD3D","ENSG00000167286.10",19.4408,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","CD3E","ENSG00000198851.10",18.9282,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","MS4A1","ENSG00000156738.18",0.7688,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","CD79A","ENSG00000105369.10",2.6684,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","NKG7","ENSG00000105374.10",30.5832,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","LST1","ENSG00000204482.11",20.263,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","TYROBP","ENSG00000011600.12",244.9325,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","FCER1G","ENSG00000158869.11",150.5261,"OK"
"TCGA-KIRC","4a29721a-1de3-4e14-b905-f39aacb1bd53","TCGA-BP-4965-01A-01R-1334-07","TCGA-BP-4965","Primary Tumor","CD68","ENSG00000129226.14",0.149,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","PTPRC","ENSG00000081237.20",19.564,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","CD3D","ENSG00000167286.10",11.2702,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","CD3E","ENSG00000198851.10",10.8301,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","MS4A1","ENSG00000156738.18",0.2973,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","CD79A","ENSG00000105369.10",0.7914,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","NKG7","ENSG00000105374.10",29.8559,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","LST1","ENSG00000204482.11",11.2087,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","TYROBP","ENSG00000011600.12",143.3746,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","FCER1G","ENSG00000158869.11",79.1156,"OK"
"TCGA-KIRC","862e5c87-bed8-4310-b9ed-1018568bdc78","TCGA-BP-4999-01A-01R-1334-07","TCGA-BP-4999","Primary Tumor","CD68","ENSG00000129226.14",0.1821,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","PTPRC","ENSG00000081237.20",20.4019,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","CD3D","ENSG00000167286.10",45.1321,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","CD3E","ENSG00000198851.10",35.2406,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","MS4A1","ENSG00000156738.18",0.4902,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","CD79A","ENSG00000105369.10",4.157,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","NKG7","ENSG00000105374.10",56.9374,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","LST1","ENSG00000204482.11",22.5504,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","TYROBP","ENSG00000011600.12",243.8529,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","FCER1G","ENSG00000158869.11",154.9405,"OK"
"TCGA-KIRC","813cb150-7ef6-4fa7-9a64-c70f9401513c","TCGA-BP-5009-01A-01R-1334-07","TCGA-BP-5009","Primary Tumor","CD68","ENSG00000129226.14",0.1544,"OK"
