"Context","Marker","N","Spearman_rho","P","FDR"
"Primary_Tumor","PTPRC",533,0.456515108374747,8.49370123841182e-29,1.41561687306864e-28
"Primary_Tumor","CD3D",533,0.54966136625176,2.08815179999963e-43,1.04407589999982e-42
"Primary_Tumor","CD3E",533,0.552916494883291,5.28086091113291e-44,5.28086091113291e-43
"Primary_Tumor","MS4A1",533,0.407459846948935,9.80473910110029e-23,1.08941545567781e-22
"Primary_Tumor","CD79A",533,0.446057598437944,2.02164531603111e-27,2.88806473718729e-27
"Primary_Tumor","NKG7",533,0.435629076451955,4.28336562765371e-26,5.35420703456714e-26
"Primary_Tumor","LST1",533,0.478437695172547,7.65876402068989e-32,1.91469100517247e-31
"Primary_Tumor","TYROBP",533,0.469288758079152,1.51961835586774e-30,3.03923671173548e-30
"Primary_Tumor","FCER1G",533,0.520278984193658,2.65417417263498e-38,8.84724724211661e-38
"Primary_Tumor","CD68",533,0.373161658466306,4.70213081129573e-19,4.70213081129573e-19
"Stage_I_Tumor","PTPRC",233,0.458462828671501,1.64284227581517e-13,4.10710568953792e-13
"Stage_I_Tumor","CD3D",233,0.494270898555344,9.31585901207911e-16,9.31585901207911e-15
"Stage_I_Tumor","CD3E",233,0.464589428626723,7.07284606906963e-14,2.35761535635654e-13
"Stage_I_Tumor","MS4A1",233,0.333811233135736,1.80416793751381e-07,2.00463104168201e-07
"Stage_I_Tumor","CD79A",233,0.332116172022935,2.09904362809454e-07,2.09904362809454e-07
"Stage_I_Tumor","NKG7",233,0.369198324244943,6.17713817974726e-09,7.72142272468408e-09
"Stage_I_Tumor","LST1",233,0.473021330206472,2.15664605747993e-14,1.07832302873997e-13
"Stage_I_Tumor","TYROBP",233,0.414868910873055,4.15593292241965e-11,6.92655487069941e-11
"Stage_I_Tumor","FCER1G",233,0.438666643898256,2.23582035577528e-12,4.47164071155056e-12
"Stage_I_Tumor","CD68",233,0.37548001587111,3.24674586644966e-09,4.63820838064238e-09
