"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","95b7f49a-ba2e-41a3-99aa-630c2520e5b9","TCGA-FD-A3NA-01A-11R-A21D-07","TCGA-FD-A3NA","Primary Tumor","JAK3","ENSG00000105639",850,6.4135,2.1256,2.1184,"OK"
"TCGA-BLCA","95b7f49a-ba2e-41a3-99aa-630c2520e5b9","TCGA-FD-A3NA-01A-11R-A21D-07","TCGA-FD-A3NA","Primary Tumor","EPHB2","ENSG00000133216",5518,22.6638,7.5113,7.4858,"OK"
"TCGA-BLCA","0aacd6c6-c2cb-4304-8d2d-ff63e15629c2","TCGA-DK-A6B2-01A-11R-A30C-07","TCGA-DK-A6B2","Primary Tumor","JAK3","ENSG00000105639",893,8.3437,2.7157,2.763,"OK"
"TCGA-BLCA","0aacd6c6-c2cb-4304-8d2d-ff63e15629c2","TCGA-DK-A6B2-01A-11R-A30C-07","TCGA-DK-A6B2","Primary Tumor","EPHB2","ENSG00000133216",2134,10.8536,3.5326,3.5941,"OK"
"TCGA-BLCA","91c2d903-e9f9-48de-b116-7b98c6940134","TCGA-GV-A3QG-01A-11R-A220-07","TCGA-GV-A3QG","Primary Tumor","JAK3","ENSG00000105639",6938,46.5672,15.9521,16.6378,"OK"
"TCGA-BLCA","91c2d903-e9f9-48de-b116-7b98c6940134","TCGA-GV-A3QG-01A-11R-A220-07","TCGA-GV-A3QG","Primary Tumor","EPHB2","ENSG00000133216",1675,6.1197,2.0964,2.1865,"OK"
"TCGA-BLCA","eebbde83-748b-4ca1-99f6-a3243d73d338","TCGA-DK-A3IU-01A-11R-A20F-07","TCGA-DK-A3IU","Primary Tumor","JAK3","ENSG00000105639",4329,34.1541,10.8125,12.2178,"OK"
"TCGA-BLCA","eebbde83-748b-4ca1-99f6-a3243d73d338","TCGA-DK-A3IU-01A-11R-A20F-07","TCGA-DK-A3IU","Primary Tumor","EPHB2","ENSG00000133216",597,2.5639,0.8117,0.9172,"OK"
"TCGA-BLCA","252d07c5-f0a0-43ca-911d-a7b1d903a975","TCGA-C4-A0EZ-01A-21R-A24X-07","TCGA-C4-A0EZ","Primary Tumor","JAK3","ENSG00000105639",177,1.8194,0.5266,0.4847,"OK"
"TCGA-BLCA","252d07c5-f0a0-43ca-911d-a7b1d903a975","TCGA-C4-A0EZ-01A-21R-A24X-07","TCGA-C4-A0EZ","Primary Tumor","EPHB2","ENSG00000133216",1324,7.4084,2.1443,1.9734,"OK"
