"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-BL-A13J",4.655,0.9894,"JAK3",2.4995270242151,0.992333381750935,1.50719364246416
"TCGA-BT-A20N",3.017,3.7964,"JAK3",2.00611846138338,2.26195197859215,-0.255833517208774
"TCGA-BT-A20Q",9.3171,0.6257,"JAK3",3.36696560018622,0.701061052957736,2.66590454722848
"TCGA-BT-A20R",4.0553,2.7158,"JAK3",2.33779670947147,1.89367285188923,0.44412385758224
"TCGA-BT-A20U",3.7135,4.2985,"JAK3",2.23679872808771,2.40558399196799,-0.168785263880284
"TCGA-BT-A20W",10.1348,11.3398,"JAK3",3.47700373998213,3.62524710676963,-0.148243366787506
"TCGA-BT-A2LA",7.4309,4.568,"JAK3",3.07568664732759,2.47715921118664,0.598527436140949
"TCGA-BT-A2LB",7.3276,6.4614,"JAK3",3.05790077326323,2.89944635213708,0.158454421126142
"TCGA-CU-A0YN",8.5162,2.0867,"JAK3",3.25038559290387,1.62606527254028,1.62432032036359
"TCGA-CU-A0YR",5.8059,6.3549,"JAK3",2.76678595374724,2.87870572618645,-0.111919772439207
"TCGA-GC-A3BM",6.1302,4.5499,"JAK3",2.83394254440569,2.47246177672332,0.361480767682373
"TCGA-GC-A3WC",13.1157,17.067,"JAK3",3.81922876894511,4.17528506348949,-0.356056294544382
"TCGA-GC-A6I3",14.3234,61.3329,"JAK3",3.93766453698789,5.96192192970085,-2.02425739271296
"TCGA-GD-A2C5",3.5329,9.2566,"JAK3",2.18043433437734,3.35848066052385,-1.17804632614651
"TCGA-GD-A3OP",7.2044,6.0255,"JAK3",3.03639783115816,2.8126009046006,0.22379692655756
"TCGA-GD-A3OQ",2.8182,5.8024,"JAK3",1.93289267410149,2.7660438430127,-0.833151168911204
"TCGA-K4-A3WV",16.0335,6.2941,"JAK3",4.09030300164987,2.86672997874109,1.22357302290879
"TCGA-K4-A54R",18.3684,4.5529,"JAK3",4.27563287446579,2.47324141523396,1.80239145923183
"TCGA-K4-A5RI",2.0904,26.5199,"JAK3",1.62779358268248,4.78240332256668,-3.1546097398842
"TCGA-BL-A13J",5.2685,1.2096,"EPHB2",2.64812025938148,1.1437852247086,1.50433503467288
"TCGA-BT-A20N",7.4636,1.6028,"EPHB2",3.08127144554588,1.38006445884398,1.7012069867019
"TCGA-BT-A20Q",19.1176,2.3542,"EPHB2",4.33038629890637,1.74596871466424,2.58441758424213
"TCGA-BT-A20R",24.0827,1.5123,"EPHB2",4.64862074872713,1.32900875032423,3.3196119984029
"TCGA-BT-A20U",8.0856,0.5601,"EPHB2",3.18358179111782,0.641638506574872,2.54194328454295
"TCGA-BT-A20W",5.7523,7.3112,"EPHB2",2.75537900340787,3.05505679336893,-0.299677789961065
"TCGA-BT-A2LA",25.5959,5.2426,"EPHB2",4.73313195318625,2.64214702682206,2.09098492636419
"TCGA-BT-A2LB",3.6188,0.3422,"EPHB2",2.20751807698255,0.424599662230826,1.78291841475172
"TCGA-CU-A0YN",10.9895,2.71,"EPHB2",3.58369958995631,1.89141918684608,1.69228040311023
"TCGA-CU-A0YR",12.302,3.4804,"EPHB2",3.73357127092638,2.16362753858991,1.56994373233647
"TCGA-GC-A3BM",4.174,2.2885,"EPHB2",2.37128005402265,1.71742967027234,0.653850383750314
"TCGA-GC-A3WC",6.8181,3.0214,"EPHB2",2.96681803801444,2.00769784504527,0.959120192969167
"TCGA-GC-A6I3",4.6792,4.1502,"EPHB2",2.50568771893437,2.36462845819986,0.141059260734509
"TCGA-GD-A2C5",0.3879,3.8943,"EPHB2",0.472903623606832,2.29110253526432,-1.81819891165749
"TCGA-GD-A3OP",2.6195,2.1536,"EPHB2",1.85579041627482,1.65699968149404,0.198790734780784
"TCGA-GD-A3OQ",31.7143,7.1607,"EPHB2",5.03184949603704,3.02869290749271,2.00315658854432
"TCGA-K4-A3WV",13.9558,5.3296,"EPHB2",3.9026331785418,2.66211433120966,1.24051884733214
"TCGA-K4-A54R",12.8699,2.2395,"EPHB2",3.79388548096098,1.69577115780567,2.09811432315531
"TCGA-K4-A5RI",16.2329,3.2669,"EPHB2",4.10709359758585,2.09318829961926,2.01390529796659
