"Gene","Stage","N","Median_TPM","Mean_TPM","Aberrant_n","Aberrant_percent"
"JAK3","Stage 0",4,9.1482,13.686825,1,25
"JAK3","Stage I",9,5.2326,6.08861111111111,0,0
"JAK3","Stage II",100,5.97285,9.385794,6,6
"JAK3","Stage III",88,6.5413,10.8557977272727,6,6.81818181818182
"JAK3","Stage IV",68,6.06555,9.13501764705882,2,2.94117647058824
"EPHB2","Stage 0",4,13.3325,19.294825,3,75
"EPHB2","Stage I",9,3.958,8.76217777777778,3,33.3333333333333
"EPHB2","Stage II",100,5.75485,8.219059,38,38
"EPHB2","Stage III",88,6.79795,9.71486363636364,40,45.4545454545455
"EPHB2","Stage IV",68,8.60925,11.7424514705882,41,60.2941176470588
