"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BRCA","ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13","TCGA-A8-A09E-01A-11R-A00Z-07","TCGA-A8-A09E","Primary Tumor","JAK3","ENSG00000105639",189,1.906,0.5524,0.5317,"OK"
"TCGA-BRCA","ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13","TCGA-A8-A09E-01A-11R-A00Z-07","TCGA-A8-A09E","Primary Tumor","EPHB2","ENSG00000133216",313,1.7183,0.498,0.4793,"OK"
"TCGA-BRCA","0e1999e0-9c02-4804-88b6-60b46d100739","TCGA-A7-A0DC-01A-11R-A00Z-07","TCGA-A7-A0DC","Primary Tumor","JAK3","ENSG00000105639",189,0.6321,0.5579,0.5919,"OK"
"TCGA-BRCA","0e1999e0-9c02-4804-88b6-60b46d100739","TCGA-A7-A0DC-01A-11R-A00Z-07","TCGA-A7-A0DC","Primary Tumor","EPHB2","ENSG00000133216",734,1.3362,1.1793,1.2513,"OK"
"TCGA-BRCA","9e056a2a-a643-478a-b96c-85d5221f487a","TCGA-A7-A0DC-11A-41R-A089-07","TCGA-A7-A0DC","Solid Tissue Normal","JAK3","ENSG00000105639",322,3.4048,0.9996,1.0441,"OK"
"TCGA-BRCA","9e056a2a-a643-478a-b96c-85d5221f487a","TCGA-A7-A0DC-11A-41R-A089-07","TCGA-A7-A0DC","Solid Tissue Normal","EPHB2","ENSG00000133216",476,2.7398,0.8044,0.8402,"OK"
"TCGA-BRCA","3e8cff80-ed17-479c-8327-ca8e71ee7482","TCGA-A7-A0DC-01B-04R-A22O-07","TCGA-A7-A0DC","Primary Tumor","JAK3","ENSG00000105639",290,5.607,2.3841,2.223,"OK"
"TCGA-BRCA","3e8cff80-ed17-479c-8327-ca8e71ee7482","TCGA-A7-A0DC-01B-04R-A22O-07","TCGA-A7-A0DC","Primary Tumor","EPHB2","ENSG00000133216",391,4.1151,1.7498,1.6315,"OK"
"TCGA-BRCA","385ddd6f-c126-4c4f-acde-1ef2d74d3639","TCGA-A8-A08F-01A-11R-A00Z-07","TCGA-A8-A08F","Primary Tumor","JAK3","ENSG00000105639",726,8.2945,2.2826,2.1824,"OK"
"TCGA-BRCA","385ddd6f-c126-4c4f-acde-1ef2d74d3639","TCGA-A8-A08F-01A-11R-A00Z-07","TCGA-A8-A08F","Primary Tumor","EPHB2","ENSG00000133216",1011,6.2875,1.7302,1.6543,"OK"
"TCGA-BRCA","91060c43-f1e3-49ea-a3c9-96def417716b","TCGA-A8-A091-01A-11R-A00Z-07","TCGA-A8-A091","Primary Tumor","JAK3","ENSG00000105639",770,4.9498,1.2948,1.3087,"OK"
"TCGA-BRCA","91060c43-f1e3-49ea-a3c9-96def417716b","TCGA-A8-A091-01A-11R-A00Z-07","TCGA-A8-A091","Primary Tumor","EPHB2","ENSG00000133216",754,2.6384,0.6902,0.6976,"OK"
"TCGA-BRCA","84cff855-d17a-4c09-b432-53893ae69c1e","TCGA-GI-A2C8-11A-22R-A16F-07","TCGA-GI-A2C8","Solid Tissue Normal","JAK3","ENSG00000105639",31,0.1582,0.0582,0.115,"OK"
"TCGA-BRCA","84cff855-d17a-4c09-b432-53893ae69c1e","TCGA-GI-A2C8-11A-22R-A16F-07","TCGA-GI-A2C8","Solid Tissue Normal","EPHB2","ENSG00000133216",151,0.4195,0.1543,0.3048,"OK"
"TCGA-BRCA","d796de5e-4512-4b3a-93d4-2a006e79084f","TCGA-E2-A1L7-11A-33R-A144-07","TCGA-E2-A1L7","Solid Tissue Normal","JAK3","ENSG00000105639",1230,13.7804,3.7626,3.5201,"OK"
