"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-A7-A0CE",4.4021,15.6284,"JAK3",2.43352034628316,4.0555774527419,-1.62205710645874
"TCGA-A7-A0CH",1.9841,4.4493,"JAK3",1.57729588247209,2.44607091770805,-0.868775035235955
"TCGA-A7-A0D9",2.2752,3.2646,"JAK3",1.71158300747396,2.09241042968444,-0.380827422210483
"TCGA-A7-A0DB",2.3522,3.9703,"JAK3",1.74510822612574,2.31333293336707,-0.568224707241335
"TCGA-A7-A0DC",3.11955,3.4048,"JAK3",2.04248675288773,2.13907651504611,-0.0965897621583856
"TCGA-A7-A13E",3.9677,5.7235,"JAK3",2.31257805166212,2.74921244106104,-0.436634389398923
"TCGA-A7-A13F",2.1764,4.1392,"JAK3",1.66739260066711,2.36154379796786,-0.694151197300759
"TCGA-A7-A13G",2.387,2.941,"JAK3",1.76000798683207,1.97856174947575,-0.218553762643677
"TCGA-AC-A23H",2.4787,2.3506,"JAK3",1.79854826758263,1.74441946557514,0.0541288020074859
"TCGA-AC-A2FB",18.1659,5.6689,"JAK3",4.2604698412674,2.73744881606975,1.52302102519764
"TCGA-AC-A2FF",8.8798,9.6401,"JAK3",3.3044818371613,3.41143980482667,-0.106957967665362
"TCGA-AC-A2FM",1.9315,6.1032,"JAK3",1.55163905673439,2.82846910688173,-1.27683005014735
"TCGA-BH-A0AU",7.3959,7.2898,"JAK3",3.06968498340433,3.0513372956307,0.0183476877736353
"TCGA-BH-A0AY",6.5817,4.0099,"JAK3",2.92252137169254,2.32478180682489,0.597739564867649
"TCGA-BH-A0AZ",5.4458,6.7925,"JAK3",2.68835942521339,2.96208624985064,-0.273726824637256
"TCGA-BH-A0B3",6.8967,8.1771,"JAK3",2.98124988262192,3.19803832830138,-0.216788445679461
"TCGA-BH-A0B5",6.7828,1.1744,"JAK3",2.96028928366625,1.12061736121794,1.83967192244831
"TCGA-BH-A0B7",13.8894,6.213,"JAK3",3.89621371351757,2.85059942381264,1.04561428970493
"TCGA-BH-A0B8",1.671,1.3464,"JAK3",1.41737997597302,1.23044897620751,0.186930999765517
"TCGA-BH-A0BA",6.5462,6.994,"JAK3",2.91575033698668,2.99891757275836,-0.0831672357716799
"TCGA-BH-A0BC",6.2089,4.3878,"JAK3",2.84977913663453,2.42969629765183,0.420082838982702
"TCGA-BH-A0BJ",4.9846,4.7807,"JAK3",2.58125482322536,2.53124420299953,0.0500106202258301
