"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUAD","9a64a124-9787-4378-ba01-b79aa183f25f","TCGA-44-6147-01A-11R-1755-07","TCGA-44-6147","Primary Tumor","JAK3","ENSG00000105639",1219,13.8476,4.7145,4.4373,"OK"
"TCGA-LUAD","9a64a124-9787-4378-ba01-b79aa183f25f","TCGA-44-6147-01A-11R-1755-07","TCGA-44-6147","Primary Tumor","EPHB2","ENSG00000133216",1698,10.4998,3.5747,3.3645,"OK"
"TCGA-LUAD","cab5b00a-9cf2-4e1f-b2f3-93d27b73631e","TCGA-38-4631-01A-01R-1755-07","TCGA-38-4631","Primary Tumor","JAK3","ENSG00000105639",720,9.3342,3.8952,4.2671,"OK"
"TCGA-LUAD","cab5b00a-9cf2-4e1f-b2f3-93d27b73631e","TCGA-38-4631-01A-01R-1755-07","TCGA-38-4631","Primary Tumor","EPHB2","ENSG00000133216",195,1.3761,0.5743,0.6291,"OK"
"TCGA-LUAD","9a6d8661-241e-4a3e-a6fa-e2eb1962b758","TCGA-44-6147-01B-06R-A277-07","TCGA-44-6147","Primary Tumor","JAK3","ENSG00000105639",550,12.1185,4.6322,4.5276,"OK"
"TCGA-LUAD","9a6d8661-241e-4a3e-a6fa-e2eb1962b758","TCGA-44-6147-01B-06R-A277-07","TCGA-44-6147","Primary Tumor","EPHB2","ENSG00000133216",197,2.3628,0.9032,0.8828,"OK"
"TCGA-LUAD","f6582ef5-5f6d-41d7-850a-614257c9e3b2","TCGA-50-6597-01A-11R-1858-07","TCGA-50-6597","Primary Tumor","JAK3","ENSG00000105639",772,10.788,4.4277,5.5085,"OK"
"TCGA-LUAD","f6582ef5-5f6d-41d7-850a-614257c9e3b2","TCGA-50-6597-01A-11R-1858-07","TCGA-50-6597","Primary Tumor","EPHB2","ENSG00000133216",1088,8.2761,3.3967,4.2259,"OK"
"TCGA-LUAD","4b2e6f07-59e6-47c0-85ea-1e73f3354a01","TCGA-55-8511-01A-11R-2403-07","TCGA-55-8511","Primary Tumor","JAK3","ENSG00000105639",1964,22.9473,8.1845,7.6588,"OK"
"TCGA-LUAD","4b2e6f07-59e6-47c0-85ea-1e73f3354a01","TCGA-55-8511-01A-11R-2403-07","TCGA-55-8511","Primary Tumor","EPHB2","ENSG00000133216",3491,22.203,7.9191,7.4104,"OK"
"TCGA-LUAD","e4988cad-67b9-41a6-9640-2226d6b7424a","TCGA-73-4676-11A-01R-1755-07","TCGA-73-4676","Solid Tissue Normal","JAK3","ENSG00000105639",211,3.1396,1.0582,1.3138,"OK"
