"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUSC","89757795-017d-40e2-ba48-e7a19fb69b94","TCGA-43-5668-01A-01R-1635-07","TCGA-43-5668","Primary Tumor","JAK3","ENSG00000105639",5486,33.5849,10.9313,10.5631,"OK"
"TCGA-LUSC","89757795-017d-40e2-ba48-e7a19fb69b94","TCGA-43-5668-01A-01R-1635-07","TCGA-43-5668","Primary Tumor","EPHB2","ENSG00000133216",3868,12.8898,4.1954,4.0541,"OK"
"TCGA-LUSC","09152b74-f690-4dbc-a398-1f8dde28ec06","TCGA-60-2715-01A-01R-0851-07","TCGA-60-2715","Primary Tumor","JAK3","ENSG00000105639",3992,27.5804,8.8438,9.2831,"OK"
"TCGA-LUSC","09152b74-f690-4dbc-a398-1f8dde28ec06","TCGA-60-2715-01A-01R-0851-07","TCGA-60-2715","Primary Tumor","EPHB2","ENSG00000133216",2130,8.0106,2.5686,2.6962,"OK"
"TCGA-LUSC","0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e","TCGA-21-1070-01A-01R-0692-07","TCGA-21-1070","Primary Tumor","JAK3","ENSG00000105639",2060,18.5352,7.0749,7.1688,"OK"
"TCGA-LUSC","0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e","TCGA-21-1070-01A-01R-0692-07","TCGA-21-1070","Primary Tumor","EPHB2","ENSG00000133216",2147,10.5156,4.0138,4.0671,"OK"
"TCGA-LUSC","56df6ca9-d0fb-46c2-a7d1-90b6ec3c2cb7","TCGA-22-1017-01A-01R-A96U-41","TCGA-22-1017","Primary Tumor","JAK3","ENSG00000105639",2230,8.9145,7.1758,7.3729,"OK"
"TCGA-LUSC","56df6ca9-d0fb-46c2-a7d1-90b6ec3c2cb7","TCGA-22-1017-01A-01R-A96U-41","TCGA-22-1017","Primary Tumor","EPHB2","ENSG00000133216",1057,2.3001,1.8514,1.9023,"OK"
"TCGA-LUSC","45c6656d-a8f3-4968-aa40-142f3a340dde","TCGA-60-2698-01A-01R-0851-07","TCGA-60-2698","Primary Tumor","JAK3","ENSG00000105639",2007,17.3215,5.1269,5.262,"OK"
"TCGA-LUSC","45c6656d-a8f3-4968-aa40-142f3a340dde","TCGA-60-2698-01A-01R-0851-07","TCGA-60-2698","Primary Tumor","EPHB2","ENSG00000133216",1874,8.804,2.6058,2.6745,"OK"
