"region_id","ENSEMBL","SYMBOL","RNA_priority","RNA_support_score","chr","start","end","distance_to_TSS","H3K27ac_condition_blind_mean","H3K4me1_condition_blind_mean","H3K27ac_condition_blind_percentile","H3K4me1_condition_blind_percentile","condition_blind_combined_score","H3K27ac_Day1_delta","H3K27ac_Day6_delta","H3K27ac_BG_shift","H3K27ac_cross_time_same_direction","H3K27ac_BG_shift_opposes_Day6","H3K27ac_BG_closer_to_RPMI","H3K27ac_persistent_BG_reversible","H3K4me1_Day1_delta","H3K4me1_Day6_delta","H3K4me1_BG_shift","H3K4me1_cross_time_same_direction","H3K4me1_BG_shift_opposes_Day6","H3K4me1_BG_closer_to_RPMI","H3K4me1_persistent_BG_reversible","Distal_mark_support_count","Distal_any_mark_support","Distal_dual_mark_support"
"AKT3_DISTAL_chr1_244006381_244007380","ENSG00000117020","AKT3","HIGH",3,"chr1",244006381,244007380,7501,8.6436,9.7126,0.902636054421769,0.885416666666667,0.894026360544218,13.1885,1.4855,-0.8725,TRUE,TRUE,TRUE,TRUE,12.3115,-0.239000000000001,-2.609,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
"BLVRA_DISTAL_chr7_43804280_43805279","ENSG00000106605","BLVRA","HIGH",3,"chr7",43804280,43805279,6500,17.8303,16.4149,0.947278911564626,0.972789115646258,0.960034013605442,-14.0495,-1.8365,0.77,TRUE,TRUE,TRUE,TRUE,18.227,0.4245,-6.072,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE
"BMPR1A_DISTAL_chr10_88471543_88472542","ENSG00000107779","BMPR1A","HIGH",3,"chr10",88471543,88472542,-43501,12.0631,8.3422,0.925170068027211,0.858205782312925,0.891687925170068,-2.8165,-2.127,2.072,TRUE,TRUE,TRUE,TRUE,11.009,1.4785,-2.9085,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
"CAMK2D_DISTAL_chr4_114705084_114706083","ENSG00000145349","CAMK2D","INTERMEDIATE",2,"chr4",114705084,114706083,-22500,29.6379,17.9458,0.972151360544218,0.982568027210884,0.977359693877551,-2.8415,3.3955,-4.0765,FALSE,TRUE,TRUE,FALSE,20.1145,-1.2505,-3.835,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"CDK5_DISTAL_chr7_150786985_150787984","ENSG00000164885","CDK5","INTERMEDIATE",2,"chr7",150786985,150787984,-32500,42.0831,17.5041,0.984906462585034,0.979804421768708,0.982355442176871,34.774,1.2855,-3.096,TRUE,TRUE,FALSE,FALSE,20.012,-0.3085,-5.3335,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"FGR_DISTAL_chr1_27956696_27957695","ENSG00000000938","FGR","INTERMEDIATE",2,"chr1",27956696,27957695,4501,36.2657,21.5185,0.980017006802721,0.995323129251701,0.987670068027211,6.587,-1.9675,15.1725,FALSE,TRUE,FALSE,FALSE,20.6275,2.1685,-7.302,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE
"HCK_DISTAL_chr20_30657001_30658000","ENSG00000101336","HCK","HIGH",3,"chr20",30657001,30658000,17500,58.686,21.0516,0.993409863945578,0.994047619047619,0.993728741496599,68.0825,5.2655,-7.303,TRUE,TRUE,TRUE,TRUE,25.65,-0.435500000000001,-6.026,FALSE,FALSE,FALSE,FALSE,1,TRUE,FALSE
"IRAK1_DISTAL_chrX_153247353_153248352","ENSG00000184216","IRAK1","INTERMEDIATE",2,"chrX",153247353,153248352,37501,20.2267,14.1525,0.953656462585034,0.950255102040816,0.951955782312925,-12.155,3.751,-3.329,FALSE,TRUE,TRUE,FALSE,15.3745,-0.9985,-2.0055,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"IRAK3_DISTAL_chr12_66661976_66662975","ENSG00000090376","IRAK3","INTERMEDIATE",2,"chr12",66661976,66662975,79500,68.3986,16.6919,0.995323129251701,0.974914965986395,0.985119047619048,-39.8295,-1.062,-10.555,TRUE,FALSE,FALSE,FALSE,18.718,-3.6105,-1.8215,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"JAK3_DISTAL_chr19_17960881_17961880","ENSG00000105639","JAK3","HIGH",3,"chr19",17960881,17961880,-2500,41.2753,15.7111,0.98469387755102,0.966836734693878,0.975765306122449,12.161,2.495,-1.63950000000001,TRUE,TRUE,TRUE,TRUE,16.203,0.904999999999998,-4.6185,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE
"LIMK1_DISTAL_chr7_73507264_73508263","ENSG00000106683","LIMK1","EXPLORATORY",1,"chr7",73507264,73508263,10500,62.7253,14.0182,0.99468537414966,0.94812925170068,0.97140731292517,-42.7055,-17.867,7.146,TRUE,TRUE,TRUE,TRUE,39.0635,1.527,-1.967,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE
