"ENTREZID","SYMBOL","ENSEMBL","chr","start","end","strand","width","Mark","Contrast","Log_signal_difference","AveExpr","t","P_value","FDR","B","Direction"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K27ac","BG_vs_RPMI",0.0875545605184662,3.54552775258419,0.212781966435,0.836673003301933,0.99973894856585,-4.6263805744251,"UP"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K27ac","LPS_vs_RPMI",1.52768799425447,3.54552775258419,3.71270729464797,0.00564295313049033,0.701136926463424,-2.27697648871935,"UP"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K4me1","BG_vs_RPMI",0.320187173521937,3.48710723049733,0.882255202971216,0.377781026101768,0.999295880922878,-4.60424629386881,"UP"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K4me1","LPS_vs_RPMI",0.517467976999726,3.48710723049733,1.42584979297342,0.154121027530904,0.99810613730001,-4.49131303174845,"UP"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K4me3","BG_vs_RPMI",0.327025549658875,3.92407408080606,0.824701294520909,0.409673110582596,0.54150940414774,-5.16148616778048,"UP"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,"H3K4me3","LPS_vs_RPMI",1.40860199733556,3.92407408080606,3.55224810990803,0.000393847131849736,0.0652473415097729,-0.0630977048599561,"UP"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K27ac","BG_vs_RPMI",-0.952404231048699,4.11657459227741,-1.93628098620644,0.0878370797698563,0.99973894856585,-4.53516660001155,"DOWN"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.472378648592226,4.11657459227741,-0.960367211464278,0.364231303854423,0.998918875707077,-4.96519871648536,"DOWN"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K4me1","BG_vs_RPMI",-0.00597247163803649,3.86286464058201,-0.0164567622097288,0.986872197926207,0.999295880922878,-4.63170033127379,"DOWN"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K4me1","LPS_vs_RPMI",0.00541275407581221,3.86286464058201,0.0149144963967827,0.988102390124259,0.99810613730001,-5.21150340658023,"UP"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K4me3","BG_vs_RPMI",0.0353188039739152,5.94204955278401,0.0890678523087916,0.929039947745435,0.944238965295462,-5.43538177360277,"UP"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,"H3K4me3","LPS_vs_RPMI",0.031219340614272,5.94204955278401,0.0787297220218298,0.937258168430129,0.995072878029387,-5.96125490063968,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K27ac","BG_vs_RPMI",0.26965829056738,2.39428602118356,0.785682752106009,0.454075896498506,0.99973894856585,-4.6074557950441,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K27ac","LPS_vs_RPMI",1.35881793600287,2.39428602118356,3.9590839700253,0.00395186120627511,0.65469167317291,-2.06700144117201,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K4me1","BG_vs_RPMI",0.186812812439432,2.78630869691908,0.514750712664268,0.606803525903862,0.999295880922878,-4.62236093742857,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K4me1","LPS_vs_RPMI",1.07171343517101,2.78630869691908,2.95303757447048,0.00319589680375816,0.552382000936593,-2.12210337323417,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K4me3","BG_vs_RPMI",0.706675282416561,5.05548503080345,1.78211158370589,0.0749344911234899,0.513364375332454,-4.14454680304248,"UP"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,"H3K4me3","LPS_vs_RPMI",0.966924938738917,5.05548503080345,2.43841574309512,0.0148678667569032,0.985413824531141,-3.18355273680507,"UP"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K27ac","BG_vs_RPMI",-0.0108637040961908,6.39435933553329,-0.0228715070685366,0.982297587852339,0.99973894856585,-4.62796860343724,"DOWN"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,"H3K27ac","LPS_vs_RPMI",0.0765531410679019,6.39435933553329,0.161168390776322,0.875846925701544,0.998918875707077,-5.32907782843189,"UP"
