"ENTREZID","SYMBOL","ENSEMBL","chr","start","end","strand","width","Mark","Contrast","Log_signal_difference","AveExpr","t","P_value","FDR","B","Direction"
"10000","AKT3","ENSG00000117020","chr1",244012382,244016381,"-",4000,"H3K27ac","LPS_vs_RPMI",0.63571976844532,3.52497322243936,1.34396049528861,0.214831170471377,0.998918875707077,-4.64735943086219,"UP"
"100130827","SBK3","ENSG00000231274","chr19",56054910,56058909,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.888577412491588,2.98537377670472,-1.99769396999663,0.0798046315594911,0.998918875707077,-3.99423102591084,"DOWN"
"10110","SGK2","ENSG00000101049","chr20",42166811,42170810,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.139815942806349,1.24663754268423,-0.401232068106652,0.698465426729552,0.998918875707077,-5.271229887768,"DOWN"
"10114","HIPK3","ENSG00000110422","chr11",33276218,33280217,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.225297753880409,6.26917959709616,-0.537899740251431,0.604882851245891,0.998918875707077,-5.21728733034816,"DOWN"
"10155","TRIM28","ENSG00000130726","chr19",59053431,59057430,"+",4000,"H3K27ac","LPS_vs_RPMI",0.168260272255671,5.14587662835658,0.386861123763303,0.708670138379938,0.998918875707077,-5.27603849394396,"UP"
"1017","CDK2","ENSG00000123374","chr12",56358565,56362564,"+",4000,"H3K27ac","LPS_vs_RPMI",0.0266559616246234,3.05631194977393,0.0754308986611821,0.941673244556948,0.998918875707077,-5.33786967396681,"UP"
"10188","TNK2","ENSG00000061938","chr3",195636817,195640816,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.218237994298991,2.48208983212402,-0.645762953048813,0.536018288755951,0.998918875707077,-5.16461231171226,"DOWN"
"1019","CDK4","ENSG00000135446","chr12",58147797,58151796,"-",4000,"H3K27ac","LPS_vs_RPMI",0.485578688892917,3.51283819768962,0.985908278477029,0.352271375260108,0.998918875707077,-4.94632136373179,"UP"
"1020","CDK5","ENSG00000164885","chr7",150752985,150756984,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.218726545903167,5.71721318203051,-0.506076637569985,0.626077652509499,0.998918875707077,-5.23115376218291,"DOWN"
"1021","CDK6","ENSG00000105810","chr7",92463888,92467887,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.0141298220893584,3.34449298974288,-0.029360314402606,0.977276728433925,0.998918875707077,-5.33996598246483,"DOWN"
"1022","CDK7","ENSG00000134058","chr5",68528622,68532621,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.0110408715058785,4.04432105612855,-0.0259625299061535,0.979905721213362,0.998918875707077,-5.34004763487974,"DOWN"
"10221","TRIB1","ENSG00000173334","chr8",126440600,126444599,"+",4000,"H3K27ac","LPS_vs_RPMI",0.0232671988541471,6.36635673239706,0.0645636782543365,0.950062112718745,0.998918875707077,-5.33853010798978,"UP"
"1024","CDK8","ENSG00000132964","chr13",26826241,26830240,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.428474158314215,4.76805964245032,-1.17400898534374,0.273241827575271,0.998918875707077,-4.7966559370049,"DOWN"
"1025","CDK9","ENSG00000136807","chr9",130545958,130549957,"+",4000,"H3K27ac","LPS_vs_RPMI",0.326594814107517,5.67505481816621,0.651799071829507,0.532306643697094,0.998918875707077,-5.16141218262325,"UP"
"10290","SPEG","ENSG00000072195","chr2",220297565,220301564,"+",4000,"H3K27ac","LPS_vs_RPMI",0.00713995139927648,1.10604204394922,0.0226714079149857,0.982452433535101,0.998918875707077,-5.34011716346119,"UP"
"10295","BCKDK","ENSG00000103507","chr16",31115428,31119427,"+",4000,"H3K27ac","LPS_vs_RPMI",0.575050993940984,3.72215199247673,1.26811628912197,0.239450971040256,0.998918875707077,-4.71546028292761,"UP"
"10298","PAK4","ENSG00000130669","chr19",39614410,39618409,"+",4000,"H3K27ac","LPS_vs_RPMI",0.132052968414443,3.24723726659979,0.34103246953851,0.741622164566497,0.998918875707077,-5.29024820196691,"UP"
"10420","TESK2","ENSG00000070759","chr1",45954836,45958835,"-",4000,"H3K27ac","LPS_vs_RPMI",0.185745023163426,3.32917075183837,0.433086832441404,0.676078157289534,0.998918875707077,-5.25997714119361,"UP"
"10461","MERTK","ENSG00000153208","chr2",112654184,112658183,"+",4000,"H3K27ac","LPS_vs_RPMI",0.441079004230307,5.0691046857442,0.591087065717118,0.570335170645335,0.998918875707077,-5.19239274749501,"UP"
"10494","STK25","ENSG00000115694","chr2",242447146,242451145,"-",4000,"H3K27ac","LPS_vs_RPMI",0.232296014993629,4.2145105682612,0.485277740346406,0.640133461904949,0.998918875707077,-5.23979339423768,"UP"
"10595","ERN2","ENSG00000134398","chr16",23722548,23726547,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.0330822995120723,0.959499708375768,-0.0791177009751558,0.938828940427397,0.998918875707077,-5.33762236087185,"DOWN"
"10645","CAMKK2","ENSG00000110931","chr12",121734112,121738111,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.0313058300396687,4.53780329024685,-0.059947066056487,0.953627933021601,0.998918875707077,-5.33877968105065,"DOWN"
"10733","PLK4","ENSG00000142731","chr4",128800048,128804047,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.0672712435439817,3.78204157190514,-0.15084334199289,0.883731021367624,0.998918875707077,-5.33047229506439,"DOWN"
"10746","MAP3K2","ENSG00000169967","chr2",128144042,128148041,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.23424241131975,5.93256157690534,-0.5002561077323,0.629995208612494,0.998918875707077,-5.23360544752613,"DOWN"
"10769","PLK2","ENSG00000145632","chr5",57753967,57757966,"-",4000,"H3K27ac","LPS_vs_RPMI",0.196213229794873,3.86157257450396,0.530619324812649,0.609697914632845,0.998918875707077,-5.2205282625575,"UP"
"10783","NEK6","ENSG00000119408","chr9",127017885,127021884,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.456560077772941,6.111647233519,-1.21818393632731,0.256920869734372,0.998918875707077,-4.75902165700681,"DOWN"
"10922","FASTK","ENSG00000164896","chr7",150775954,150779953,"-",4000,"H3K27ac","LPS_vs_RPMI",-0.0570234880771645,4.44814626596711,-0.168113141253683,0.870552176547576,0.998918875707077,-5.32808838376214,"DOWN"
"11011","TLK2","ENSG00000146872","chr17",60534019,60538018,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.337010562646298,1.15494648550817,-1.05705534538276,0.320523217381236,0.998918875707077,-4.89184525372059,"DOWN"
"11035","RIPK3","ENSG00000129465","chr14",24807229,24811228,"-",4000,"H3K27ac","LPS_vs_RPMI",0.473086782321709,3.43377170817432,1.13702186972002,0.287547506652043,0.998918875707077,-4.82747915513162,"UP"
"11040","PIM2","ENSG00000102096","chrX",48774302,48778301,"-",4000,"H3K27ac","LPS_vs_RPMI",0.879698752876019,3.41399628236311,1.92068027253728,0.0899978570330854,0.998918875707077,-4.07512640203294,"UP"
"1111","CHEK1","ENSG00000149554","chr11",125493058,125497057,"+",4000,"H3K27ac","LPS_vs_RPMI",-0.435792072641007,4.42381993738752,-1.09610090396521,0.30406850148769,0.998918875707077,-4.86081638874469,"DOWN"
