"region_id","ENSEMBL","SYMBOL","ENTREZID","RNA_priority","RNA_support_score","region_type","chr","start","end","distance_to_TSS","D1_RPMI_r1_H3K27ac","D1_RPMI_r2_H3K27ac","D1_LPS_r1_H3K27ac","D1_LPS_r2_H3K27ac","D1_RPMI_r1_H3K4me1","D1_RPMI_r2_H3K4me1","D1_LPS_r1_H3K4me1","D1_LPS_r2_H3K4me1","D6_RPMI_d73_H3K27ac","D6_RPMI_d74_H3K27ac","D6_LPS_d73_H3K27ac","D6_LPS_d74_H3K27ac","D6_RESCUE_d73_H3K27ac","D6_RESCUE_d74_H3K27ac","D6_RPMI_d73_H3K4me1","D6_RPMI_d74_H3K4me1","D6_LPS_d73_H3K4me1","D6_LPS_d74_H3K4me1","D6_RESCUE_d73_H3K4me1","D6_RESCUE_d74_H3K4me1","H3K27ac_condition_blind_mean","H3K4me1_condition_blind_mean","H3K27ac_condition_blind_percentile","H3K4me1_condition_blind_percentile","condition_blind_combined_score","abs_distance_to_TSS"
"AKT3_DISTAL_chr1_244006381_244007380","ENSG00000117020","AKT3",10000,"HIGH",3,"distal","chr1",244006381,244007380,7501,6.109,4.77,15.354,21.902,10.724,5.477,22.549,18.275,4.161,7.207,7.503,6.836,4.072,8.522,10.314,5.111,8.306,6.641,1.871,7.858,8.6436,9.7126,0.902636054421769,0.885416666666667,0.894026360544218,7501
"BLVRA_DISTAL_chr7_43804280_43805279","ENSG00000106605","BLVRA",644,"HIGH",3,"distal","chr7",43804280,43805279,6500,39.036,18.99,19.577,10.35,23.819,7.246,38.964,28.555,16.909,15.143,12.874,15.505,8.663,21.256,16.759,8.578,13.802,12.384,2.61,11.432,17.8303,16.4149,0.947278911564626,0.972789115646258,0.960034013605442,6500
"BMPR1A_DISTAL_chr10_88471543_88472542","ENSG00000107779","BMPR1A",657,"HIGH",3,"distal","chr10",88471543,88472542,-43501,12.014,5.759,4.935,7.205,8.028,3.328,19.408,13.966,18.033,13.661,13.336,14.104,12.647,18.937,8.262,4.603,6.901,8.921,1.833,8.172,12.0631,8.3422,0.925170068027211,0.858205782312925,0.891687925170068,43501
"CAMK2D_DISTAL_chr4_114705084_114706083","ENSG00000145349","CAMK2D",817,"INTERMEDIATE",2,"distal","chr4",114705084,114706083,-22500,43.116,32.419,29.403,40.449,26.206,11.61,44.239,33.806,26.837,21.684,24.503,30.809,17.654,29.505,16.442,8.981,12.614,10.308,1.907,13.345,29.6379,17.9458,0.972151360544218,0.982568027210884,0.977359693877551,22500
"CDK5_DISTAL_chr7_150786985_150787984","ENSG00000164885","CDK5",1020,"INTERMEDIATE",2,"distal","chr7",150786985,150787984,-32500,31.427,23.193,59.887,64.281,23.821,10.071,34.378,39.538,49.901,31.13,46.513,37.089,27.176,50.234,17.64,8.738,10.562,15.199,1.781,13.313,42.0831,17.5041,0.984906462585034,0.979804421768708,0.982355442176871,32500
"FGR_DISTAL_chr1_27956696_27957695","ENSG00000000938","FGR",2268,"INTERMEDIATE",2,"distal","chr1",27956696,27957695,4501,33.638,15.551,35.665,26.698,27.519,12.44,45.375,35.839,43.776,32.434,32.453,39.822,42.527,60.093,20.64,12.674,20.365,17.286,2.138,20.909,36.2657,21.5185,0.980017006802721,0.995323129251701,0.987670068027211,4501
"HCK_DISTAL_chr20_30657001_30658000","ENSG00000101336","HCK",3055,"HIGH",3,"distal","chr20",30657001,30658000,17500,65.375,60.389,116.343,145.586,24.678,11.718,41.754,45.942,34.625,29.612,35.712,39.056,23.233,36.929,20.648,12.758,13.927,18.608,2.905,17.578,58.686,21.0516,0.993409863945578,0.994047619047619,0.993728741496599,17500
"IRAK1_DISTAL_chrX_153247353_153248352","ENSG00000184216","IRAK1",3654,"INTERMEDIATE",2,"distal","chrX",153247353,153248352,37501,21.622,20.922,7.933,10.301,22.58,6.941,33.667,26.603,29.029,15.352,29.592,22.291,14.564,30.661,11.824,8.089,9.09,8.826,1.392,12.513,20.2267,14.1525,0.953656462585034,0.950255102040816,0.951955782312925,37501
"IRAK3_DISTAL_chr12_66661976_66662975","ENSG00000090376","IRAK3",11213,"INTERMEDIATE",2,"distal","chr12",66661976,66662975,79500,113.644,101.198,52.829,82.354,22.912,8.032,37.923,30.457,69.903,49.87,57.483,60.166,31.533,65.006,17.576,10.984,11.966,9.373,3.141,14.555,68.3986,16.6919,0.995323129251701,0.974914965986395,0.985119047619048,79500
"JAK3_DISTAL_chr19_17960881_17961880","ENSG00000105639","JAK3",3718,"HIGH",3,"distal","chr19",17960881,17961880,-2500,64.722,43.145,65.019,67.17,19.232,8.915,30.443,30.11,33.201,22.131,34.019,26.303,22.237,34.806,16.254,8.422,13.517,12.969,1.121,16.128,41.2753,15.7111,0.98469387755102,0.966836734693878,0.975765306122449,2500
"LIMK1_DISTAL_chr7_73507264_73508263","ENSG00000106683","LIMK1",3984,"EXPLORATORY",1,"distal","chr7",73507264,73508263,10500,75.516,76.565,26.558,40.112,16.22,4.608,53.831,45.124,92.611,62.615,58.881,60.611,56.03,77.754,4.188,1.887,3.815,5.314,0.615,4.58,62.7253,14.0182,0.99468537414966,0.94812925170068,0.97140731292517,10500
