"ENSEMBL","SYMBOL","RNA_chromatin_priority","Directional_support_score","Day6_memory_log2FC","Day6_memory_FDR_kinase","Promoter_mark_support_count","Promoter_any_mark_support","Promoter_dual_mark_support","Fixed_distal_region_id","Fixed_distal_chr","Fixed_distal_start","Fixed_distal_end","Fixed_distal_distance_to_TSS","Fixed_distal_selection_score","Distal_mark_support_count","Distal_any_mark_support","Distal_dual_mark_support","Any_corrected_chromatin_support","Any_corrected_dual_mark_support","Corrected_chromatin_support_class","Corrected_RNA_plus_chromatin_class","Chromatin_label","Top_integrated"
"ENSG00000107968","MAP3K8","HIGH",3,1.39387870584643,0.0264808208850477,2,TRUE,TRUE,"MAP3K8_DISTAL_chr10_30781951_30782950","chr10",30781951,30782950,59500,0.992772108843538,1,TRUE,FALSE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","TOP_RNA_HIGH_PLUS_DUAL_CHROMATIN","DUAL",TRUE
"ENSG00000107779","BMPR1A","HIGH",3,-1.96596694499885,0.042862384317761,2,TRUE,TRUE,"BMPR1A_DISTAL_chr10_88471543_88472542","chr10",88471543,88472542,-43501,0.891687925170068,2,TRUE,TRUE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","TOP_RNA_HIGH_PLUS_DUAL_CHROMATIN","DUAL",TRUE
"ENSG00000105639","JAK3","HIGH",3,1.89523439154549,0.0471420766117238,2,TRUE,TRUE,"JAK3_DISTAL_chr19_17960881_17961880","chr19",17960881,17961880,-2500,0.975765306122449,1,TRUE,FALSE,TRUE,TRUE,"DUAL_MARK_PERSISTENT_BG_REVERSIBLE","TOP_RNA_HIGH_PLUS_DUAL_CHROMATIN","DUAL",TRUE
"ENSG00000188906","LRRK2","HIGH",3,1.55494521975739,0.0264808208850477,0,FALSE,FALSE,"LRRK2_DISTAL_chr12_40601547_40602546","chr12",40601547,40602546,11500,0.988732993197279,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","RNA_HIGH_PLUS_SINGLE_MARK_CHROMATIN","SINGLE",FALSE
"ENSG00000117020","AKT3","HIGH",3,1.14537737044339,0.0264808208850477,1,TRUE,FALSE,"AKT3_DISTAL_chr1_244006381_244007380","chr1",244006381,244007380,7501,0.894026360544218,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","RNA_HIGH_PLUS_SINGLE_MARK_CHROMATIN","SINGLE",FALSE
"ENSG00000101336","HCK","HIGH",3,1.15856360311711,0.0264808208850477,0,FALSE,FALSE,"HCK_DISTAL_chr20_30657001_30658000","chr20",30657001,30658000,17500,0.993728741496599,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","RNA_HIGH_PLUS_SINGLE_MARK_CHROMATIN","SINGLE",FALSE
"ENSG00000254087","LYN","HIGH",3,1.50512492044938,0.033933882408987,1,TRUE,FALSE,"LYN_DISTAL_chr8_56886395_56887394","chr8",56886395,56887394,94500,0.996598639455782,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","RNA_HIGH_PLUS_SINGLE_MARK_CHROMATIN","SINGLE",FALSE
"ENSG00000106605","BLVRA","HIGH",3,-1.24513080223856,0.042862384317761,0,FALSE,FALSE,"BLVRA_DISTAL_chr7_43804280_43805279","chr7",43804280,43805279,6500,0.960034013605442,1,TRUE,FALSE,TRUE,FALSE,"SINGLE_MARK_PERSISTENT_BG_REVERSIBLE","RNA_HIGH_PLUS_SINGLE_MARK_CHROMATIN","SINGLE",FALSE
"ENSG00000007264","MATK","HIGH",3,-2.30951657872545,0.033933882408987,0,FALSE,FALSE,"MATK_DISTAL_chr19_3761127_3762126","chr19",3761127,3762126,40501,0.941007653061225,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","RNA_HIGH_NO_DIRECTIONAL_CHROMATIN","NONE",FALSE
"ENSG00000156711","MAPK13","HIGH",3,-1.07616235904964,0.0471420766117238,0,FALSE,FALSE,"MAPK13_DISTAL_chr6_36088586_36089585","chr6",36088586,36089585,-6501,0.972257653061224,0,FALSE,FALSE,FALSE,FALSE,"NO_DIRECTIONAL_CHROMATIN_SUPPORT","RNA_HIGH_NO_DIRECTIONAL_CHROMATIN","NONE",FALSE
